"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"32",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","RCI_E",0,0.0359,0.04125,0.0743,0.11135
"33",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","RCI_H",0,7e-04,0.00185,0.01325,0.0336
"34",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","Rp_E",0,0.02075,0.0263,0.05265,0.07955
"35",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","Rp_H",0,0,0,0,0.00015
"36",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","saddle_E",0,0.0045,0.0096,0.0474,0.09475
"37",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","saddle_H",0,0.00415,0.0088,0.0457,0.09335
"38",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","Satt_E",0,0.00285,0.00725,0.03975,0.0835
"39",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x4","size","Satt_H",0,0.00055,0.00225,0.0278,0.0747
"40",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","KCCI_E",0,1e-04,0.00025,0.00445,0.0154
"41",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","KCCI_H",0,2e-04,6e-04,0.0098,0.0304
"42",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","KCp_E",0,0.00245,0.00315,0.0107,0.02015
"43",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","KCp_H",0,0.0038,0.0055,0.01815,0.03455
"44",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","naive",0,0.0073,0.01265,0.04285,0.0762
"45",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","RCI_E",0,0.00135,0.0021,0.0095,0.02075
"46",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","RCI_H",0,1e-04,0.00015,0.00155,0.00525
"47",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","Rp_E",0,0.00075,0.00105,0.0038,0.00805
"48",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","Rp_H",0,0,0,0,0
"49",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","saddle_E",0,7e-04,0.00175,0.01505,0.03805
"50",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x4","size","saddle_H",0,0.00045,0.0017,0.0123,0.03195
