"","HC","coef","criterion","test","value"
"102","HC0","x1","size","saddle_V1",0.612967401704931
"103","HC0","x2","size","saddle_V1",0.464674429373481
"104","HC0","x3","size","saddle_V1",0.465482314312294
"105","HC0","x4","size","saddle_V1",0.232026895247808
"106","HC0","x0","power","saddle_V1",0.996910079231443
"107","HC0","x1","power","saddle_V1",0.345595493298431
"108","HC0","x2","power","saddle_V1",0.171545123440533
"109","HC0","x3","power","saddle_V1",0.205919122078423
"110","HC0","x4","power","saddle_V1",0.232026895247808
"111","HC0","x0","size","saddle_V1",0.324927970357528
"112","HC0","x1","size","saddle_V1",0.583246647973825
"113","HC0","x2","size","saddle_V1",0.753551746664708
"114","HC0","x3","size","saddle_V1",0.462669971225178
"115","HC0","x4","size","saddle_V1",0.168472775132024
"116","HC0","x0","power","saddle_V1",0.595826955563957
"117","HC0","x1","power","saddle_V1",0.281422034501945
"118","HC0","x2","power","saddle_V1",0.0403133151286884
"119","HC0","x3","power","saddle_V1",0.0572161501471491
"120","HC0","x4","power","saddle_V1",0.168472775132024
"121","HC0","x0","size","saddle_V1",0.649902233635807
"122","HC0","x1","size","saddle_V1",0.443848677698717
"123","HC0","x2","size","saddle_V1",0.843749448875373
"124","HC0","x3","size","saddle_V1",0.0140949608241465
"125","HC0","x4","size","saddle_V1",0.699488946204535
"126","HC0","x0","power","saddle_V1",0.897108593542038
"127","HC0","x1","power","saddle_V1",0.177658162915841
"128","HC0","x2","power","saddle_V1",0.0255338162416331
"129","HC0","x3","power","saddle_V1",0.000576003036067797
"130","HC0","x4","power","saddle_V1",0.699488946204535
"131","HC0","x0","size","saddle_V1",0.917179809444564
"132","HC0","x1","size","saddle_V1",0.901383720302375
"133","HC0","x2","size","saddle_V1",0.843053090692422
"134","HC0","x3","size","saddle_V1",0.792099559696579
"135","HC0","x4","size","saddle_V1",0.834587220690453
"136","HC0","x0","power","saddle_V1",0.679998786594563
"137","HC0","x1","power","saddle_V1",0.415912790524713
"138","HC0","x2","power","saddle_V1",0.072947231673283
"139","HC0","x3","power","saddle_V1",0.0368305413540112
"140","HC0","x4","power","saddle_V1",0.834587220690453
"141","HC0","x0","size","saddle_V1",0.643282223045324
"142","HC0","x1","size","saddle_V1",0.288221198998306
"143","HC0","x2","size","saddle_V1",0.0334057312677016
"144","HC0","x3","size","saddle_V1",0.582445329630734
"145","HC0","x4","size","saddle_V1",0.903694364910826
"146","HC0","x0","power","saddle_V1",0.4177919877146
"147","HC0","x1","power","saddle_V1",0.539711829370142
"148","HC0","x2","power","saddle_V1",0.000361323590391158
"149","HC0","x3","power","saddle_V1",0.0726475715906758
"150","HC0","x4","power","saddle_V1",0.903694364910826
"151","HC0","x0","size","saddle_V1",0.400347596087667
"152","HC0","x1","size","saddle_V1",0.421774080588158
"153","HC0","x2","size","saddle_V1",0.468926546360299
"154","HC0","x3","size","saddle_V1",0.189569217757239
"155","HC0","x4","size","saddle_V1",0.242764395705079
"156","HC0","x0","power","saddle_V1",0.250694172858603
"157","HC0","x1","power","saddle_V1",0.651090448254596
"158","HC0","x2","power","saddle_V1",0.0323709371517502
"159","HC0","x3","power","saddle_V1",0.00119701143501941
"160","HC0","x4","power","saddle_V1",0.242764395705079
"161","HC0","x0","size","saddle_V1",0.0839415580865175
"162","HC0","x1","size","saddle_V1",0.0560938825045205
"163","HC0","x2","size","saddle_V1",0.151408456370645
"164","HC0","x3","size","saddle_V1",0.770988140359519
"165","HC0","x4","size","saddle_V1",0.278762211222675
"166","HC0","x0","power","saddle_V1",0.0557385010111859
"167","HC0","x1","power","saddle_V1",0.0928956123389656
"168","HC0","x2","power","saddle_V1",0.0128622749157087
"169","HC0","x3","power","saddle_V1",0.0258559643535497
"170","HC0","x4","power","saddle_V1",0.278762211222675
"171","HC0","x0","size","saddle_V1",0.184616380551575
"172","HC0","x1","size","saddle_V1",0.103196798399343
"173","HC0","x2","size","saddle_V1",0.114278596023904
"174","HC0","x3","size","saddle_V1",0.820436322743535
"175","HC0","x4","size","saddle_V1",0.409112666263025
"176","HC0","x0","power","saddle_V1",0.0644509571518438
"177","HC0","x1","power","saddle_V1",0.308982334347838
"178","HC0","x2","power","saddle_V1",0.000203317678665479
"179","HC0","x3","power","saddle_V1",0.0594399778278369
"180","HC0","x4","power","saddle_V1",0.409112666263025
"181","HC0","x0","size","saddle_V1",0.972113984704594
"182","HC0","x1","size","saddle_V1",0.414988506091429
"183","HC0","x2","size","saddle_V1",0.340094447048325
"184","HC0","x3","size","saddle_V1",0.636300799854833
"185","HC0","x4","size","saddle_V1",0.14817786937981
"186","HC0","x0","power","saddle_V1",0.717448755368062
"187","HC0","x1","power","saddle_V1",0.660296719248461
"188","HC0","x2","power","saddle_V1",0.0374220497426582
"189","HC0","x3","power","saddle_V1",0.0781101334505999
