"","HC","coef","criterion","test","value"
"1302","HC0","x1","size","saddle_V1",0.191698532618901
"1303","HC0","x2","size","saddle_V1",0.264302519998343
"1304","HC0","x3","size","saddle_V1",0.45290131784016
"1305","HC0","x4","size","saddle_V1",0.378741457240294
"1306","HC0","x0","power","saddle_V1",0.0933500861252367
"1307","HC0","x1","power","saddle_V1",0.371119586866415
"1308","HC0","x2","power","saddle_V1",0.0179906183218178
"1309","HC0","x3","power","saddle_V1",0.000845316448661242
"1310","HC0","x4","power","saddle_V1",0.378741457240294
"1311","HC0","x0","size","saddle_V1",0.0069871831841754
"1312","HC0","x1","size","saddle_V1",0.00931219750703291
"1313","HC0","x2","size","saddle_V1",0.303843634306452
"1314","HC0","x3","size","saddle_V1",0.0888641384957999
"1315","HC0","x4","size","saddle_V1",0.161428880909029
"1316","HC0","x0","power","saddle_V1",0.00173952599011508
"1317","HC0","x1","power","saddle_V1",0.0549227852029935
"1318","HC0","x2","power","saddle_V1",0.00045221399449798
"1319","HC0","x3","power","saddle_V1",7.77922243525625e-06
"1320","HC0","x4","power","saddle_V1",0.161428880909029
"1321","HC0","x0","size","saddle_V1",0.594608563947908
"1322","HC0","x1","size","saddle_V1",0.712994780371434
"1323","HC0","x2","size","saddle_V1",0.649117957522358
"1324","HC0","x3","size","saddle_V1",0.374190177582792
"1325","HC0","x4","size","saddle_V1",0.0814258997049425
"1326","HC0","x0","power","saddle_V1",0.899694988965538
"1327","HC0","x1","power","saddle_V1",0.412784665491788
"1328","HC0","x2","power","saddle_V1",0.307607840712498
"1329","HC0","x3","power","saddle_V1",0.332324304943683
"1330","HC0","x4","power","saddle_V1",0.0814258997049425
"1331","HC0","x0","size","saddle_V1",0.119530451859985
"1332","HC0","x1","size","saddle_V1",0.0533438237930041
"1333","HC0","x2","size","saddle_V1",0.380634068860202
"1334","HC0","x3","size","saddle_V1",0.042937215562028
"1335","HC0","x4","size","saddle_V1",0.418916792402557
"1336","HC0","x0","power","saddle_V1",0.0419974988316906
"1337","HC0","x1","power","saddle_V1",0.157571497921643
"1338","HC0","x2","power","saddle_V1",0.0120403171392534
"1339","HC0","x3","power","saddle_V1",2.02818939358081e-05
"1340","HC0","x4","power","saddle_V1",0.418916792402557
"1341","HC0","x0","size","saddle_V1",0.230630957851445
"1342","HC0","x1","size","saddle_V1",0.207814877464506
"1343","HC0","x2","size","saddle_V1",0.0761518436469553
"1344","HC0","x3","size","saddle_V1",0.411860777637121
"1345","HC0","x4","size","saddle_V1",0.625157453677866
"1346","HC0","x0","power","saddle_V1",0.111580004548608
"1347","HC0","x1","power","saddle_V1",0.427733298895956
"1348","HC0","x2","power","saddle_V1",0.00238176045466597
"1349","HC0","x3","power","saddle_V1",0.237363176053259
"1350","HC0","x4","power","saddle_V1",0.625157453677866
"1351","HC0","x0","size","saddle_V1",0.621683134221476
"1352","HC0","x1","size","saddle_V1",0.695985136597755
"1353","HC0","x2","size","saddle_V1",0.670096892941624
"1354","HC0","x3","size","saddle_V1",0.792236407947937
"1355","HC0","x4","size","saddle_V1",0.473294621893868
"1356","HC0","x0","power","saddle_V1",0.30955879812531
"1357","HC0","x1","power","saddle_V1",0.771045242271529
"1358","HC0","x2","power","saddle_V1",0.0673526448038101
"1359","HC0","x3","power","saddle_V1",0.0661219761893431
"1360","HC0","x4","power","saddle_V1",0.473294621893868
"1361","HC0","x0","size","saddle_V1",0.786633443975477
"1362","HC0","x1","size","saddle_V1",0.969627681939227
"1363","HC0","x2","size","saddle_V1",0.275271190547618
"1364","HC0","x3","size","saddle_V1",0.910365155703236
"1365","HC0","x4","size","saddle_V1",0.671500832801669
"1366","HC0","x0","power","saddle_V1",0.85210308844685
"1367","HC0","x1","power","saddle_V1",0.591946246278641
"1368","HC0","x2","power","saddle_V1",0.0173426320478797
"1369","HC0","x3","power","saddle_V1",0.021661086967916
"1370","HC0","x4","power","saddle_V1",0.671500832801669
"1371","HC0","x0","size","saddle_V1",0.602943803354153
"1372","HC0","x1","size","saddle_V1",0.462924862042132
"1373","HC0","x2","size","saddle_V1",0.580839048245808
"1374","HC0","x3","size","saddle_V1",0.20842753555284
"1375","HC0","x4","size","saddle_V1",0.463495456575469
"1376","HC0","x0","power","saddle_V1",0.37217869313231
"1377","HC0","x1","power","saddle_V1",0.76534940532651
"1378","HC0","x2","power","saddle_V1",0.0390996244068807
"1379","HC0","x3","power","saddle_V1",0.00931039834309807
"1380","HC0","x4","power","saddle_V1",0.463495456575469
"1381","HC0","x0","size","saddle_V1",0.0741350986722943
"1382","HC0","x1","size","saddle_V1",0.0676683329751088
"1383","HC0","x2","size","saddle_V1",0.388270429888304
"1384","HC0","x3","size","saddle_V1",0.102840469858798
"1385","HC0","x4","size","saddle_V1",0.982777664082358
"1386","HC0","x0","power","saddle_V1",0.15500304692524
"1387","HC0","x1","power","saddle_V1",0.0292596310782782
"1388","HC0","x2","power","saddle_V1",0.5514043059868
"1389","HC0","x3","power","saddle_V1",0.344466707160502
"1390","HC0","x4","power","saddle_V1",0.982777664082358
"1391","HC0","x0","size","saddle_V1",0.458336676191073
"1392","HC0","x1","size","saddle_V1",0.490716127457357
"1393","HC0","x2","size","saddle_V1",0.828801600974566
"1394","HC0","x3","size","saddle_V1",0.266661015277601
"1395","HC0","x4","size","saddle_V1",0.780394212659586
"1396","HC0","x0","power","saddle_V1",0.292916597967106
"1397","HC0","x1","power","saddle_V1",0.760548454718279
"1398","HC0","x2","power","saddle_V1",0.178040217169419
"1399","HC0","x3","power","saddle_V1",0.0101180198830321
"1400","HC0","x4","power","saddle_V1",0.780394212659586
"1401","HC0","x0","size","saddle_V1",0.237333371151062
"1402","HC0","x1","size","saddle_V1",0.151758250585052
"1403","HC0","x2","size","saddle_V1",0.106318853221657
"1404","HC0","x3","size","saddle_V1",0.483095855057295
"1405","HC0","x4","size","saddle_V1",0.880728730861353
"1406","HC0","x0","power","saddle_V1",0.170676325152436
"1407","HC0","x1","power","saddle_V1",0.222095147550353
"1408","HC0","x2","power","saddle_V1",0.017444740483454
"1409","HC0","x3","power","saddle_V1",0.0159091971147026
"1410","HC0","x4","power","saddle_V1",0.880728730861353
"1411","HC0","x0","size","saddle_V1",0.281355621009058
"1412","HC0","x1","size","saddle_V1",0.216860425612165
"1413","HC0","x2","size","saddle_V1",0.269953753131858
"1414","HC0","x3","size","saddle_V1",0.254612993417747
"1415","HC0","x4","size","saddle_V1",0.702815843550385
"1416","HC0","x0","power","saddle_V1",0.16115270098574
"1417","HC0","x1","power","saddle_V1",0.396995642473081
"1418","HC0","x2","power","saddle_V1",0.0243571973857916
"1419","HC0","x3","power","saddle_V1",0.00505220278327169
"1420","HC0","x4","power","saddle_V1",0.702815843550385
"1421","HC0","x0","size","saddle_V1",0.455007105569616
"1422","HC0","x1","size","saddle_V1",0.935088095147021
"1423","HC0","x2","size","saddle_V1",0.943221915416628
"1424","HC0","x3","size","saddle_V1",0.636728486514917
"1425","HC0","x4","size","saddle_V1",0.141869031663936
"1426","HC0","x0","power","saddle_V1",0.195819938596548
"1427","HC0","x1","power","saddle_V1",0.586068046060563
"1428","HC0","x2","power","saddle_V1",0.17426458768077
"1429","HC0","x3","power","saddle_V1",0.00410869734079638
"1430","HC0","x4","power","saddle_V1",0.141869031663936
"1431","HC0","x0","size","saddle_V1",0.562411809895513
"1432","HC0","x1","size","saddle_V1",0.509640231709392
"1433","HC0","x2","size","saddle_V1",0.768840341472757
"1434","HC0","x3","size","saddle_V1",0.863460915368599
"1435","HC0","x4","size","saddle_V1",0.739375333104409
"1436","HC0","x0","power","saddle_V1",0.884489953682562
"1437","HC0","x1","power","saddle_V1",0.274810641841768
"1438","HC0","x2","power","saddle_V1",0.105109291319679
"1439","HC0","x3","power","saddle_V1",0.148192866703769
"1440","HC0","x4","power","saddle_V1",0.739375333104409
"1441","HC0","x0","size","saddle_V1",0.901619391761411
"1442","HC0","x1","size","saddle_V1",0.921577890353749
"1443","HC0","x2","size","saddle_V1",0.753146460911814
"1444","HC0","x3","size","saddle_V1",0.562185715449463
"1445","HC0","x4","size","saddle_V1",0.104927025812494
"1446","HC0","x0","power","saddle_V1",0.7415721813606
"1447","HC0","x1","power","saddle_V1",0.572964772609755
"1448","HC0","x2","power","saddle_V1",0.0947859762190474
"1449","HC0","x3","power","saddle_V1",0.00877627091784107
"1450","HC0","x4","power","saddle_V1",0.104927025812494
"1451","HC0","x0","size","saddle_V1",0.214518219224778
"1452","HC0","x1","size","saddle_V1",0.362896056136914
"1453","HC0","x2","size","saddle_V1",0.674175821676689
"1454","HC0","x3","size","saddle_V1",0.0426121047113075
"1455","HC0","x4","size","saddle_V1",0.303118468569415
"1456","HC0","x0","power","saddle_V1",0.50055998388648
"1457","HC0","x1","power","saddle_V1",0.140298094639353
"1458","HC0","x2","power","saddle_V1",0.0218211845653393
"1459","HC0","x3","power","saddle_V1",0.0793351308435942
"1460","HC0","x4","power","saddle_V1",0.303118468569415
"1461","HC0","x0","size","saddle_V1",0.626457473659123
"1462","HC0","x1","size","saddle_V1",0.376759674833363
"1463","HC0","x2","size","saddle_V1",0.0594386244071285
"1464","HC0","x3","size","saddle_V1",0.0399458385607561
"1465","HC0","x4","size","saddle_V1",0.0202767425233283
"1466","HC0","x0","power","saddle_V1",0.933300479459319
"1467","HC0","x1","power","saddle_V1",0.190300566533352
"1468","HC0","x2","power","saddle_V1",0.960422702119535
"1469","HC0","x3","power","saddle_V1",0.000468637125669246
"1470","HC0","x4","power","saddle_V1",0.0202767425233283
"1471","HC0","x0","size","saddle_V1",0.154036768439808
"1472","HC0","x1","size","saddle_V1",0.38375427278903
"1473","HC0","x2","size","saddle_V1",0.360934904806962
"1474","HC0","x3","size","saddle_V1",0.664359215538756
"1475","HC0","x4","size","saddle_V1",0.902577447611556
"1476","HC0","x0","power","saddle_V1",0.0703217425352899
"1477","HC0","x1","power","saddle_V1",0.669921266600837
"1478","HC0","x2","power","saddle_V1",0.224876379680907
"1479","HC0","x3","power","saddle_V1",0.00449605228754401
"1480","HC0","x4","power","saddle_V1",0.902577447611556
"1481","HC0","x0","size","saddle_V1",0.463792057924659
"1482","HC0","x1","size","saddle_V1",0.439356313099173
"1483","HC0","x2","size","saddle_V1",0.0426055092130717
"1484","HC0","x3","size","saddle_V1",0.885131007412732
"1485","HC0","x4","size","saddle_V1",0.111096419921616
"1486","HC0","x0","power","saddle_V1",0.778292379153967
"1487","HC0","x1","power","saddle_V1",0.193769235572815
"1488","HC0","x2","power","saddle_V1",0.622674416022772
"1489","HC0","x3","power","saddle_V1",0.0113303937144864
"1490","HC0","x4","power","saddle_V1",0.111096419921616
"1491","HC0","x0","size","saddle_V1",0.192628706564274
"1492","HC0","x1","size","saddle_V1",0.364295632484941
"1493","HC0","x2","size","saddle_V1",0.411269661832419
"1494","HC0","x3","size","saddle_V1",0.0347261276868563
"1495","HC0","x4","size","saddle_V1",0.00344587316214825
"1496","HC0","x0","power","saddle_V1",0.127256787182404
"1497","HC0","x1","power","saddle_V1",0.54850335109764
"1498","HC0","x2","power","saddle_V1",0.00412415616120859
"1499","HC0","x3","power","saddle_V1",0.00144502235387102
"1500","HC0","x4","power","saddle_V1",0.00344587316214825
"1501","HC0","x0","size","saddle_V1",0.652941282542558
"1502","HC0","x1","size","saddle_V1",0.71750906352621
"1503","HC0","x2","size","saddle_V1",0.25156885243814
"1504","HC0","x3","size","saddle_V1",0.429755026362833
"1505","HC0","x4","size","saddle_V1",0.626836628119604
"1506","HC0","x0","power","saddle_V1",0.879787002410413
"1507","HC0","x1","power","saddle_V1",0.502617155857749
"1508","HC0","x2","power","saddle_V1",0.0180524410067618
"1509","HC0","x3","power","saddle_V1",0.773988453329949
"1510","HC0","x4","power","saddle_V1",0.626836628119604
"1511","HC0","x0","size","saddle_V1",0.985396541381811
"1512","HC0","x1","size","saddle_V1",0.807845824864815
"1513","HC0","x2","size","saddle_V1",0.530298482421232
"1514","HC0","x3","size","saddle_V1",0.220765669144576
"1515","HC0","x4","size","saddle_V1",0.80596188715313
"1516","HC0","x0","power","saddle_V1",0.666593762478622
"1517","HC0","x1","power","saddle_V1",0.440092938603957
"1518","HC0","x2","power","saddle_V1",0.218409899033699
"1519","HC0","x3","power","saddle_V1",0.00103454906680649
"1520","HC0","x4","power","saddle_V1",0.80596188715313
"1521","HC0","x0","size","saddle_V1",0.489385461710874
"1522","HC0","x1","size","saddle_V1",0.432904086595283
"1523","HC0","x2","size","saddle_V1",0.138150535963854
"1524","HC0","x3","size","saddle_V1",0.625562277581139
"1525","HC0","x4","size","saddle_V1",0.96170778772372
"1526","HC0","x0","power","saddle_V1",0.662752793956658
"1527","HC0","x1","power","saddle_V1",0.308301017219674
"1528","HC0","x2","power","saddle_V1",0.650517686955585
"1529","HC0","x3","power","saddle_V1",0.042421657557697
"1530","HC0","x4","power","saddle_V1",0.96170778772372
"1531","HC0","x0","size","saddle_V1",0.917343579866118
"1532","HC0","x1","size","saddle_V1",0.70246967283255
"1533","HC0","x2","size","saddle_V1",0.699958280237559
"1534","HC0","x3","size","saddle_V1",0.595899692563581
"1535","HC0","x4","size","saddle_V1",0.597584998875094
"1536","HC0","x0","power","saddle_V1",0.681735988144474
"1537","HC0","x1","power","saddle_V1",0.375804228115363
"1538","HC0","x2","power","saddle_V1",0.354392667777094
"1539","HC0","x3","power","saddle_V1",0.188400076452866
"1540","HC0","x4","power","saddle_V1",0.597584998875094
"1541","HC0","x0","size","saddle_V1",0.192840358047101
"1542","HC0","x1","size","saddle_V1",0.30198273334696
"1543","HC0","x2","size","saddle_V1",0.812081488242498
"1544","HC0","x3","size","saddle_V1",0.826366097885772
"1545","HC0","x4","size","saddle_V1",0.74828340348272
"1546","HC0","x0","power","saddle_V1",0.122375060615506
"1547","HC0","x1","power","saddle_V1",0.485123766841954
"1548","HC0","x2","power","saddle_V1",0.179843406227012
"1549","HC0","x3","power","saddle_V1",0.141969445621215
"1550","HC0","x4","power","saddle_V1",0.74828340348272
"1551","HC0","x0","size","saddle_V1",0.168682057560527
"1552","HC0","x1","size","saddle_V1",0.311297251020842
"1553","HC0","x2","size","saddle_V1",0.492000015732057
"1554","HC0","x3","size","saddle_V1",0.819491693552438
"1555","HC0","x4","size","saddle_V1",0.487048083642365
"1556","HC0","x0","power","saddle_V1",0.0992026959306986
"1557","HC0","x1","power","saddle_V1",0.517438829565613
"1558","HC0","x2","power","saddle_V1",0.0989959894821101
"1559","HC0","x3","power","saddle_V1",0.120302972776145
"1560","HC0","x4","power","saddle_V1",0.487048083642365
"1561","HC0","x0","size","saddle_V1",0.122353663870856
"1562","HC0","x1","size","saddle_V1",0.114038697544877
"1563","HC0","x2","size","saddle_V1",0.606105037410782
"1564","HC0","x3","size","saddle_V1",0.0431373898075638
"1565","HC0","x4","size","saddle_V1",0.270293350556672
"1566","HC0","x0","power","saddle_V1",0.0695992893507162
"1567","HC0","x1","power","saddle_V1",0.199134277293388
"1568","HC0","x2","power","saddle_V1",0.00893043375238495
"1569","HC0","x3","power","saddle_V1",0.00526378274580359
"1570","HC0","x4","power","saddle_V1",0.270293350556672
"1571","HC0","x0","size","saddle_V1",0.559002493166922
"1572","HC0","x1","size","saddle_V1",0.78014985385006
"1573","HC0","x2","size","saddle_V1",0.153322806351461
"1574","HC0","x3","size","saddle_V1",0.484994586598269
"1575","HC0","x4","size","saddle_V1",0.210378774434173
"1576","HC0","x0","power","saddle_V1",0.897618801927492
"1577","HC0","x1","power","saddle_V1",0.442745495878521
"1578","HC0","x2","power","saddle_V1",0.25285343073009
"1579","HC0","x3","power","saddle_V1",0.0424319154736596
"1580","HC0","x4","power","saddle_V1",0.210378774434173
"1581","HC0","x0","size","saddle_V1",0.0514689581153232
"1582","HC0","x1","size","saddle_V1",0.0613239089926589
"1583","HC0","x2","size","saddle_V1",0.535628422792438
"1584","HC0","x3","size","saddle_V1",0.708945191238033
"1585","HC0","x4","size","saddle_V1",0.880434667796398
"1586","HC0","x0","power","saddle_V1",0.0262965874672726
"1587","HC0","x1","power","saddle_V1",0.141651227752434
"1588","HC0","x2","power","saddle_V1",0.0289294868775563
"1589","HC0","x3","power","saddle_V1",0.0652049381671913
"1590","HC0","x4","power","saddle_V1",0.880434667796398
"1591","HC0","x0","size","saddle_V1",0.691449421733265
"1592","HC0","x1","size","saddle_V1",0.557381165775583
"1593","HC0","x2","size","saddle_V1",0.428619041562632
"1594","HC0","x3","size","saddle_V1",0.794533999169704
"1595","HC0","x4","size","saddle_V1",0.52639641546004
"1596","HC0","x0","power","saddle_V1",0.4731738372937
"1597","HC0","x1","power","saddle_V1",0.805035611540352
"1598","HC0","x2","power","saddle_V1",0.0363327072130508
"1599","HC0","x3","power","saddle_V1",0.193658698989877
"1600","HC0","x4","power","saddle_V1",0.52639641546004
"1601","HC0","x0","size","saddle_V1",0.943269393197262
"1602","HC0","x1","size","saddle_V1",0.931517007249411
"1603","HC0","x2","size","saddle_V1",0.850846134774855
"1604","HC0","x3","size","saddle_V1",0.638037905780803
"1605","HC0","x4","size","saddle_V1",0.293021443801731
"1606","HC0","x0","power","saddle_V1",0.663425151772398
"1607","HC0","x1","power","saddle_V1",0.645103172835419
"1608","HC0","x2","power","saddle_V1",0.148095097211652
"1609","HC0","x3","power","saddle_V1",0.0860941983233358
"1610","HC0","x4","power","saddle_V1",0.293021443801731
"1611","HC0","x0","size","saddle_V1",0.358611052341474
"1612","HC0","x1","size","saddle_V1",0.56095604269789
"1613","HC0","x2","size","saddle_V1",0.705619915075175
"1614","HC0","x3","size","saddle_V1",0.929517997918621
"1615","HC0","x4","size","saddle_V1",0.35449951107058
"1616","HC0","x0","power","saddle_V1",0.619048597747343
"1617","HC0","x1","power","saddle_V1",0.315809608126646
"1618","HC0","x2","power","saddle_V1",0.0729949101752834
"1619","HC0","x3","power","saddle_V1",0.111346640951426
"1620","HC0","x4","power","saddle_V1",0.35449951107058
"1621","HC0","x0","size","saddle_V1",0.0442925477163806
"1622","HC0","x1","size","saddle_V1",0.193402394195822
"1623","HC0","x2","size","saddle_V1",0.0766598498486039
"1624","HC0","x3","size","saddle_V1",0.551669645016188
"1625","HC0","x4","size","saddle_V1",0.0198505350746801
"1626","HC0","x0","power","saddle_V1",0.0204494038650053
"1627","HC0","x1","power","saddle_V1",0.370186992343336
"1628","HC0","x2","power","saddle_V1",0.000473956207877192
"1629","HC0","x3","power","saddle_V1",0.125499759208134
"1630","HC0","x4","power","saddle_V1",0.0198505350746801
"1631","HC0","x0","size","saddle_V1",0.275398567844231
"1632","HC0","x1","size","saddle_V1",0.1330181073937
"1633","HC0","x2","size","saddle_V1",0.436483454495507
"1634","HC0","x3","size","saddle_V1",0.0900866298027976
"1635","HC0","x4","size","saddle_V1",0.685489243543978
"1636","HC0","x0","power","saddle_V1",0.481712761259812
"1637","HC0","x1","power","saddle_V1",0.0619101693021381
"1638","HC0","x2","power","saddle_V1",0.200669973173234
"1639","HC0","x3","power","saddle_V1",0.331397453344126
"1640","HC0","x4","power","saddle_V1",0.685489243543978
"1641","HC0","x0","size","saddle_V1",0.955958342918294
"1642","HC0","x1","size","saddle_V1",0.423595613958028
"1643","HC0","x2","size","saddle_V1",0.168238990714586
"1644","HC0","x3","size","saddle_V1",0.115971212036093
"1645","HC0","x4","size","saddle_V1",0.916240059149337
"1646","HC0","x0","power","saddle_V1",0.646297313680416
"1647","HC0","x1","power","saddle_V1",0.187537028489461
"1648","HC0","x2","power","saddle_V1",0.280040408528085
"1649","HC0","x3","power","saddle_V1",0.258578370842602
"1650","HC0","x4","power","saddle_V1",0.916240059149337
"1651","HC0","x0","size","saddle_V1",0.485973414256963
"1652","HC0","x1","size","saddle_V1",0.483470288056597
"1653","HC0","x2","size","saddle_V1",0.773663136094821
"1654","HC0","x3","size","saddle_V1",0.481181110922015
"1655","HC0","x4","size","saddle_V1",0.765483948506106
"1656","HC0","x0","power","saddle_V1",0.292137758973545
"1657","HC0","x1","power","saddle_V1",0.748734329419955
"1658","HC0","x2","power","saddle_V1",0.111809388551489
"1659","HC0","x3","power","saddle_V1",0.071586907361508
"1660","HC0","x4","power","saddle_V1",0.765483948506106
"1661","HC0","x0","size","saddle_V1",0.989389085633232
"1662","HC0","x1","size","saddle_V1",0.848755818828574
"1663","HC0","x2","size","saddle_V1",0.373006189583291
"1664","HC0","x3","size","saddle_V1",0.495609217362563
"1665","HC0","x4","size","saddle_V1",0.401177101370226
"1666","HC0","x0","power","saddle_V1",0.752244098993446
"1667","HC0","x1","power","saddle_V1",0.55536650438145
"1668","HC0","x2","power","saddle_V1",0.0233497243627435
"1669","HC0","x3","power","saddle_V1",0.000144032256690959
"1670","HC0","x4","power","saddle_V1",0.401177101370226
"1671","HC0","x0","size","saddle_V1",0.138697334828537
"1672","HC0","x1","size","saddle_V1",0.0795703689393665
"1673","HC0","x2","size","saddle_V1",0.0143245750261265
"1674","HC0","x3","size","saddle_V1",0.499571006351988
"1675","HC0","x4","size","saddle_V1",0.563283995782251
"1676","HC0","x0","power","saddle_V1",0.0592530025992376
"1677","HC0","x1","power","saddle_V1",0.202504546725191
"1678","HC0","x2","power","saddle_V1",0.000175989348187893
"1679","HC0","x3","power","saddle_V1",0.0263032434057764
"1680","HC0","x4","power","saddle_V1",0.563283995782251
"1681","HC0","x0","size","saddle_V1",0.446033901199644
"1682","HC0","x1","size","saddle_V1",0.457358504165915
"1683","HC0","x2","size","saddle_V1",0.57952210024096
"1684","HC0","x3","size","saddle_V1",0.610824340666716
"1685","HC0","x4","size","saddle_V1",0.974505474088504
"1686","HC0","x0","power","saddle_V1",0.225235198371972
"1687","HC0","x1","power","saddle_V1",0.850664677342012
"1688","HC0","x2","power","saddle_V1",0.012079083413303
"1689","HC0","x3","power","saddle_V1",0.00164820513641149
"1690","HC0","x4","power","saddle_V1",0.974505474088504
"1691","HC0","x0","size","saddle_V1",0.399287399955419
"1692","HC0","x1","size","saddle_V1",0.429108211724659
"1693","HC0","x2","size","saddle_V1",0.379890698972028
"1694","HC0","x3","size","saddle_V1",0.028535980771385
"1695","HC0","x4","size","saddle_V1",0.105710995440993
"1696","HC0","x0","power","saddle_V1",0.646084065028753
"1697","HC0","x1","power","saddle_V1",0.228008932525239
"1698","HC0","x2","power","saddle_V1",0.113121933769548
"1699","HC0","x3","power","saddle_V1",0.886580873134397
"1700","HC0","x4","power","saddle_V1",0.105710995440993
"1701","HC0","x0","size","saddle_V1",0.00381273502657435
"1702","HC0","x1","size","saddle_V1",0.000846691168601833
"1703","HC0","x2","size","saddle_V1",0.029650051075403
"1704","HC0","x3","size","saddle_V1",0.842802055501906
"1705","HC0","x4","size","saddle_V1",0.00663319336293614
"1706","HC0","x0","power","saddle_V1",0.0103631523284027
"1707","HC0","x1","power","saddle_V1",0.000267292255575679
"1708","HC0","x2","power","saddle_V1",0.92273370334215
"1709","HC0","x3","power","saddle_V1",0.0347407487768988
"1710","HC0","x4","power","saddle_V1",0.00663319336293614
"1711","HC0","x0","size","saddle_V1",0.0122513524314285
"1712","HC0","x1","size","saddle_V1",0.0172415635887574
"1713","HC0","x2","size","saddle_V1",0.788347970553756
"1714","HC0","x3","size","saddle_V1",0.1248238214485
"1715","HC0","x4","size","saddle_V1",0.746543967885819
"1716","HC0","x0","power","saddle_V1",0.0235223323341031
"1717","HC0","x1","power","saddle_V1",0.00765665129584375
"1718","HC0","x2","power","saddle_V1",0.0419215670508408
"1719","HC0","x3","power","saddle_V1",0.778368270855585
"1720","HC0","x4","power","saddle_V1",0.746543967885819
"1721","HC0","x0","size","saddle_V1",0.240950068285499
"1722","HC0","x1","size","saddle_V1",0.193677817065502
"1723","HC0","x2","size","saddle_V1",0.0903660522931962
"1724","HC0","x3","size","saddle_V1",0.868967960074834
"1725","HC0","x4","size","saddle_V1",0.694982647045039
"1726","HC0","x0","power","saddle_V1",0.593277211303742
"1727","HC0","x1","power","saddle_V1",0.0573125160839358
"1728","HC0","x2","power","saddle_V1",0.159997887102674
"1729","HC0","x3","power","saddle_V1",0.124271326483971
"1730","HC0","x4","power","saddle_V1",0.694982647045039
"1731","HC0","x0","size","saddle_V1",0.271675407561814
"1732","HC0","x1","size","saddle_V1",0.305509488965658
"1733","HC0","x2","size","saddle_V1",0.293162820706667
"1734","HC0","x3","size","saddle_V1",0.120094438252446
"1735","HC0","x4","size","saddle_V1",0.219719077915403
"1736","HC0","x0","power","saddle_V1",0.171645211866228
"1737","HC0","x1","power","saddle_V1",0.461568331429463
"1738","HC0","x2","power","saddle_V1",0.0451617537691119
"1739","HC0","x3","power","saddle_V1",0.00264875630140395
"1740","HC0","x4","power","saddle_V1",0.219719077915403
"1741","HC0","x0","size","saddle_V1",0.252611202307389
"1742","HC0","x1","size","saddle_V1",0.331805264095619
"1743","HC0","x2","size","saddle_V1",0.484079519688846
"1744","HC0","x3","size","saddle_V1",0.310397400073769
"1745","HC0","x4","size","saddle_V1",0.784037239682179
"1746","HC0","x0","power","saddle_V1",0.109650078631752
"1747","HC0","x1","power","saddle_V1",0.720491220546814
"1748","HC0","x2","power","saddle_V1",0.0212917582940829
"1749","HC0","x3","power","saddle_V1",0.120621225403408
"1750","HC0","x4","power","saddle_V1",0.784037239682179
"1751","HC0","x0","size","saddle_V1",0.847274284771929
"1752","HC0","x1","size","saddle_V1",0.719324739915477
"1753","HC0","x2","size","saddle_V1",0.297741853776622
"1754","HC0","x3","size","saddle_V1",0.000477143719519161
"1755","HC0","x4","size","saddle_V1",0.449933896113652
"1756","HC0","x0","power","saddle_V1",0.693461292172197
"1757","HC0","x1","power","saddle_V1",0.764590041024541
"1758","HC0","x2","power","saddle_V1",0.372224825990222
"1759","HC0","x3","power","saddle_V1",1.46580136232563e-06
"1760","HC0","x4","power","saddle_V1",0.449933896113652
"1761","HC0","x0","size","saddle_V1",0.905057202653822
"1762","HC0","x1","size","saddle_V1",0.883193235274242
"1763","HC0","x2","size","saddle_V1",0.271252911154139
"1764","HC0","x3","size","saddle_V1",0.0927736481009591
"1765","HC0","x4","size","saddle_V1",0.948685264358692
"1766","HC0","x0","power","saddle_V1",0.603447999835603
"1767","HC0","x1","power","saddle_V1",0.57162974776602
"1768","HC0","x2","power","saddle_V1",0.00811951287661868
"1769","HC0","x3","power","saddle_V1",0.678560888801577
"1770","HC0","x4","power","saddle_V1",0.948685264358692
"1771","HC0","x0","size","saddle_V1",0.607293037954926
"1772","HC0","x1","size","saddle_V1",0.65703991546492
"1773","HC0","x2","size","saddle_V1",0.479864733325196
"1774","HC0","x3","size","saddle_V1",0.684644706685848
"1775","HC0","x4","size","saddle_V1",0.273393033049157
"1776","HC0","x0","power","saddle_V1",0.374822965827341
"1777","HC0","x1","power","saddle_V1",0.984016149951775
"1778","HC0","x2","power","saddle_V1",0.0173150787197153
"1779","HC0","x3","power","saddle_V1",0.0604097620180995
"1780","HC0","x4","power","saddle_V1",0.273393033049157
"1781","HC0","x0","size","saddle_V1",0.807746384465059
"1782","HC0","x1","size","saddle_V1",0.756580760825058
"1783","HC0","x2","size","saddle_V1",0.512057660075805
"1784","HC0","x3","size","saddle_V1",0.719843047545822
"1785","HC0","x4","size","saddle_V1",0.423156162598727
"1786","HC0","x0","power","saddle_V1",0.470926214151348
"1787","HC0","x1","power","saddle_V1",0.858990439037751
"1788","HC0","x2","power","saddle_V1",0.00503686747980973
"1789","HC0","x3","power","saddle_V1",0.516229477073519
"1790","HC0","x4","power","saddle_V1",0.423156162598727
"1791","HC0","x0","size","saddle_V1",0.633946110454752
"1792","HC0","x1","size","saddle_V1",0.219302400179384
"1793","HC0","x2","size","saddle_V1",0.420291230102367
"1794","HC0","x3","size","saddle_V1",0.037536482381605
"1795","HC0","x4","size","saddle_V1",0.286090716776188
"1796","HC0","x0","power","saddle_V1",0.82628265509223
