"",".n","HC","coef","criterion","saddle_V1","saddle_V2"
"101",11,"HC0","x0","size",0.637489583193565,0.668191881288857
"102",11,"HC0","x1","size",0.612967401704931,0.637982824036244
"103",11,"HC0","x2","size",0.464674429373481,0.470493797775975
"104",11,"HC0","x3","size",0.465482314312294,0.499193647991989
"105",11,"HC0","x4","size",0.232026895247808,0.258095574733453
"106",11,"HC0","x0","power",0.996910079231443,0.997126069669225
"107",11,"HC0","x1","power",0.345595493298431,0.386980378187736
"108",11,"HC0","x2","power",0.171545123440533,0.179656613075502
"109",11,"HC0","x3","power",0.205919122078423,0.247450972793485
"110",11,"HC0","x4","power",0.232026895247808,0.258095574733453
"111",12,"HC0","x0","size",0.324927970357528,0.331301325490357
"112",12,"HC0","x1","size",0.583246647973825,0.591709454696227
"113",12,"HC0","x2","size",0.753551746664708,0.75731988541678
"114",12,"HC0","x3","size",0.462669971225178,0.490267951809956
"115",12,"HC0","x4","size",0.168472775132024,0.163060252739369
"116",12,"HC0","x0","power",0.595826955563957,0.598673228973996
"117",12,"HC0","x1","power",0.281422034501945,0.296499234062529
"118",12,"HC0","x2","power",0.0403133151286884,0.0485875944968364
"119",12,"HC0","x3","power",0.0572161501471491,0.0792374166796227
"120",12,"HC0","x4","power",0.168472775132024,0.163060252739369
"121",13,"HC0","x0","size",0.649902233635807,0.660588380255668
"122",13,"HC0","x1","size",0.443848677698717,0.45931140937316
"123",13,"HC0","x2","size",0.843749448875373,0.850486330881033
"124",13,"HC0","x3","size",0.0140949608241465,0.0103928284117029
"125",13,"HC0","x4","size",0.699488946204535,0.701791738003715
"126",13,"HC0","x0","power",0.897108593542038,0.899882621655125
"127",13,"HC0","x1","power",0.177658162915841,0.199331004519477
"128",13,"HC0","x2","power",0.0255338162416331,0.0414323023252968
"129",13,"HC0","x3","power",0.000576003036067797,0.000324949138941957
"130",13,"HC0","x4","power",0.699488946204535,0.701791738003715
"131",14,"HC0","x0","size",0.917179809444564,0.918513522830211
"132",14,"HC0","x1","size",0.901383720302375,0.902184533808891
"133",14,"HC0","x2","size",0.843053090692422,0.843593135305102
"134",14,"HC0","x3","size",0.792099559696579,0.798203582616412
"135",14,"HC0","x4","size",0.834587220690453,0.833469104995403
"136",14,"HC0","x0","power",0.679998786594563,0.686042599124303
"137",14,"HC0","x1","power",0.415912790524713,0.421859299379893
"138",14,"HC0","x2","power",0.072947231673283,0.0794227347364219
"139",14,"HC0","x3","power",0.0368305413540112,0.0488953802218987
"140",14,"HC0","x4","power",0.834587220690453,0.833469104995403
"141",15,"HC0","x0","size",0.643282223045324,0.675832045662366
"142",15,"HC0","x1","size",0.288221198998306,0.311778855712496
"143",15,"HC0","x2","size",0.0334057312677016,0.0417921985111326
"144",15,"HC0","x3","size",0.582445329630734,0.60125744732198
"145",15,"HC0","x4","size",0.903694364910826,0.90396733953536
"146",15,"HC0","x0","power",0.4177919877146,0.46932866963403
"147",15,"HC0","x1","power",0.539711829370142,0.557502955022072
"148",15,"HC0","x2","power",0.000361323590391158,0.000812042939748238
"149",15,"HC0","x3","power",0.0726475715906758,0.0983392520706103
"150",15,"HC0","x4","power",0.903694364910826,0.90396733953536
"151",16,"HC0","x0","size",0.400347596087667,0.418591829825135
"152",16,"HC0","x1","size",0.421774080588158,0.436606454632209
"153",16,"HC0","x2","size",0.468926546360299,0.480683926403107
"154",16,"HC0","x3","size",0.189569217757239,0.186436702260959
"155",16,"HC0","x4","size",0.242764395705079,0.270679559429615
"156",16,"HC0","x0","power",0.250694172858603,0.273955681246577
"157",16,"HC0","x1","power",0.651090448254596,0.65947785201467
"158",16,"HC0","x2","power",0.0323709371517502,0.0447470481063407
"159",16,"HC0","x3","power",0.00119701143501941,0.00223163166047181
"160",16,"HC0","x4","power",0.242764395705079,0.270679559429615
"161",17,"HC0","x0","size",0.0839415580865175,0.106529248479205
"162",17,"HC0","x1","size",0.0560938825045205,0.0772471848987817
"163",17,"HC0","x2","size",0.151408456370645,0.167938498497041
"164",17,"HC0","x3","size",0.770988140359519,0.782887908384927
"165",17,"HC0","x4","size",0.278762211222675,0.283539993175268
"166",17,"HC0","x0","power",0.0557385010111859,0.075921377370746
"167",17,"HC0","x1","power",0.0928956123389656,0.116812176318631
"168",17,"HC0","x2","power",0.0128622749157087,0.0199434834810245
"169",17,"HC0","x3","power",0.0258559643535497,0.0430959327616737
"170",17,"HC0","x4","power",0.278762211222675,0.283539993175268
"171",18,"HC0","x0","size",0.184616380551575,0.183095263369986
"172",18,"HC0","x1","size",0.103196798399343,0.100137574762206
"173",18,"HC0","x2","size",0.114278596023904,0.116070907892214
"174",18,"HC0","x3","size",0.820436322743535,0.819949049348475
"175",18,"HC0","x4","size",0.409112666263025,0.424892300864373
"176",18,"HC0","x0","power",0.0644509571518438,0.0637103610024155
"177",18,"HC0","x1","power",0.308982334347838,0.309129432046611
"178",18,"HC0","x2","power",0.000203317678665479,0.000266558680199744
"179",18,"HC0","x3","power",0.0594399778278369,0.0645284907142477
"180",18,"HC0","x4","power",0.409112666263025,0.424892300864373
"181",19,"HC0","x0","size",0.972113984704594,0.974703701847676
"182",19,"HC0","x1","size",0.414988506091429,0.470105107623762
"183",19,"HC0","x2","size",0.340094447048325,0.375066870277806
"184",19,"HC0","x3","size",0.636300799854833,0.64711208727685
"185",19,"HC0","x4","size",0.14817786937981,0.153203949509933
"186",19,"HC0","x0","power",0.717448755368062,0.748529915655049
"187",19,"HC0","x1","power",0.660296719248461,0.692582749219525
"188",19,"HC0","x2","power",0.0374220497426582,0.0561033597956833
"189",19,"HC0","x3","power",0.0781101334505999,0.0960790454911822
"190",19,"HC0","x4","power",0.14817786937981,0.153203949509933
"191",20,"HC0","x0","size",0.755538674293772,0.759965096700392
"192",20,"HC0","x1","size",0.147034037767305,0.157917470364996
"193",20,"HC0","x2","size",0.303110940762074,0.318946219199837
"194",20,"HC0","x3","size",0.157655390617266,0.161384604922552
"195",20,"HC0","x4","size",0.326194535832274,0.351383475424625
"196",20,"HC0","x0","power",0.404988843607336,0.413767753849585
"197",20,"HC0","x1","power",0.381224941464814,0.393926582036191
"198",20,"HC0","x2","power",0.010978743285144,0.0157436042606531
"199",20,"HC0","x3","power",0.00261200176961049,0.0033409008914524
"200",20,"HC0","x4","power",0.326194535832274,0.351383475424625
"201",21,"HC0","x0","size",0.360212851634271,0.424843179022191
"202",21,"HC0","x1","size",0.41720192988297,0.476423845067166
"203",21,"HC0","x2","size",0.187722328126793,0.216921046782374
"204",21,"HC0","x3","size",0.641446334325656,0.677212313451545
"205",21,"HC0","x4","size",0.548596266824495,0.560701314187778
"206",21,"HC0","x0","power",0.236904284396252,0.307077964117163
"207",21,"HC0","x1","power",0.609907855232419,0.650225156351299
"208",21,"HC0","x2","power",0.00256163503108017,0.00600670041246982
"209",21,"HC0","x3","power",0.16807814529781,0.282413669007755
"210",21,"HC0","x4","power",0.548596266824495,0.560701314187778
"211",22,"HC0","x0","size",0.585661797765006,0.603674931940375
"212",22,"HC0","x1","size",0.90754156933006,0.911997453060535
"213",22,"HC0","x2","size",0.672752860925235,0.698789714691829
"214",22,"HC0","x3","size",0.320133672473023,0.376940672084141
"215",22,"HC0","x4","size",0.28918945196231,0.30198298132468
"216",22,"HC0","x0","power",0.760443534077675,0.770294613045947
"217",22,"HC0","x1","power",0.666135297289031,0.683956837640308
"218",22,"HC0","x2","power",0.400061756274195,0.445727643492788
"219",22,"HC0","x3","power",0.0541340334242528,0.0966412459609044
"220",22,"HC0","x4","power",0.28918945196231,0.30198298132468
"221",23,"HC0","x0","size",0.0881010261458325,0.104940249769844
"222",23,"HC0","x1","size",0.135582966610016,0.155800951007836
"223",23,"HC0","x2","size",0.105994530835503,0.108921839006867
"224",23,"HC0","x3","size",0.939814339440874,0.944327216387539
"225",23,"HC0","x4","size",0.682957698459772,0.685940404252556
"226",23,"HC0","x0","power",0.045332086559634,0.0588568037275011
"227",23,"HC0","x1","power",0.253182689852954,0.272852120502677
"228",23,"HC0","x2","power",0.00141789416552883,0.00147133621420304
"229",23,"HC0","x3","power",0.090844578485768,0.139642547662
