"",".n","HC","coef","criterion","saddle_V1","saddle_V2"
"1338",134,"HC0","x2","power",0.0120403171392534,0.016548551793101
"1339",134,"HC0","x3","power",2.02818939358081e-05,2.15383686658595e-05
"1340",134,"HC0","x4","power",0.418916792402557,0.440718920180114
"1341",135,"HC0","x0","size",0.230630957851445,0.233488269261954
"1342",135,"HC0","x1","size",0.207814877464506,0.212778973237683
"1343",135,"HC0","x2","size",0.0761518436469553,0.0813909788625084
"1344",135,"HC0","x3","size",0.411860777637121,0.44537067924803
"1345",135,"HC0","x4","size",0.625157453677866,0.629797172537278
"1346",135,"HC0","x0","power",0.111580004548608,0.11395597335838
"1347",135,"HC0","x1","power",0.427733298895956,0.433525235530492
"1348",135,"HC0","x2","power",0.00238176045466597,0.00323305808164199
"1349",135,"HC0","x3","power",0.237363176053259,0.272967845445052
"1350",135,"HC0","x4","power",0.625157453677866,0.629797172537278
"1351",136,"HC0","x0","size",0.621683134221476,0.626133181163865
"1352",136,"HC0","x1","size",0.695985136597755,0.692008184408036
"1353",136,"HC0","x2","size",0.670096892941624,0.665706117848681
"1354",136,"HC0","x3","size",0.792236407947937,0.804510232932551
"1355",136,"HC0","x4","size",0.473294621893868,0.490178261212061
"1356",136,"HC0","x0","power",0.30955879812531,0.312938247725219
"1357",136,"HC0","x1","power",0.771045242271529,0.768031403500497
"1358",136,"HC0","x2","power",0.0673526448038101,0.0657401426454849
"1359",136,"HC0","x3","power",0.0661219761893431,0.0960761366974029
"1360",136,"HC0","x4","power",0.473294621893868,0.490178261212061
"1361",137,"HC0","x0","size",0.786633443975477,0.791986143446785
"1362",137,"HC0","x1","size",0.969627681939227,0.970179789972851
"1363",137,"HC0","x2","size",0.275271190547618,0.294811083941139
"1364",137,"HC0","x3","size",0.910365155703236,0.91150981139676
"1365",137,"HC0","x4","size",0.671500832801669,0.684576667707566
"1366",137,"HC0","x0","power",0.85210308844685,0.855659304591916
"1367",137,"HC0","x1","power",0.591946246278641,0.600937329228935
"1368",137,"HC0","x2","power",0.0173426320478797,0.0268295162469349
"1369",137,"HC0","x3","power",0.021661086967916,0.027396617834343
"1370",137,"HC0","x4","power",0.671500832801669,0.684576667707566
"1371",138,"HC0","x0","size",0.602943803354153,0.608513829153958
"1372",138,"HC0","x1","size",0.462924862042132,0.466694387190354
"1373",138,"HC0","x2","size",0.580839048245808,0.585732083285101
"1374",138,"HC0","x3","size",0.20842753555284,0.238733032765274
"1375",138,"HC0","x4","size",0.463495456575469,0.470188107099863
"1376",138,"HC0","x0","power",0.37217869313231,0.382397205869141
"1377",138,"HC0","x1","power",0.76534940532651,0.766666761859053
"1378",138,"HC0","x2","power",0.0390996244068807,0.0458651567929183
"1379",138,"HC0","x3","power",0.00931039834309807,0.0161897510898803
"1380",138,"HC0","x4","power",0.463495456575469,0.470188107099863
"1381",139,"HC0","x0","size",0.0741350986722943,0.0811112682886055
"1382",139,"HC0","x1","size",0.0676683329751088,0.0754132695441544
"1383",139,"HC0","x2","size",0.388270429888304,0.394498873320326
"1384",139,"HC0","x3","size",0.102840469858798,0.104621866921984
"1385",139,"HC0","x4","size",0.982777664082358,0.983554958968396
"1386",139,"HC0","x0","power",0.15500304692524,0.162594118371585
"1387",139,"HC0","x1","power",0.0292596310782782,0.0348079328897039
"1388",139,"HC0","x2","power",0.5514043059868,0.555746864262616
"1389",139,"HC0","x3","power",0.344466707160502,0.343612816695359
"1390",139,"HC0","x4","power",0.982777664082358,0.983554958968396
"1391",140,"HC0","x0","size",0.458336676191073,0.463593079426879
"1392",140,"HC0","x1","size",0.490716127457357,0.500440817620169
"1393",140,"HC0","x2","size",0.828801600974566,0.831256870420281
"1394",140,"HC0","x3","size",0.266661015277601,0.275386549560297
"1395",140,"HC0","x4","size",0.780394212659586,0.791456001590686
"1396",140,"HC0","x0","power",0.292916597967106,0.298302770503016
"1397",140,"HC0","x1","power",0.760548454718279,0.764891370212641
"1398",140,"HC0","x2","power",0.178040217169419,0.1929039029137
"1399",140,"HC0","x3","power",0.0101180198830321,0.0126557418195657
"1400",140,"HC0","x4","power",0.780394212659586,0.791456001590686
"1401",141,"HC0","x0","size",0.237333371151062,0.281156542861019
"1402",141,"HC0","x1","size",0.151758250585052,0.20777578444941
"1403",141,"HC0","x2","size",0.106318853221657,0.159583198021035
"1404",141,"HC0","x3","size",0.483095855057295,0.510846034065143
"1405",141,"HC0","x4","size",0.880728730861353,0.884482937185853
"1406",141,"HC0","x0","power",0.170676325152436,0.214523222903269
"1407",141,"HC0","x1","power",0.222095147550353,0.279429167450992
"1408",141,"HC0","x2","power",0.017444740483454,0.0424688218519571
"1409",141,"HC0","x3","power",0.0159091971147026,0.0324761017082243
"1410",141,"HC0","x4","power",0.880728730861353,0.884482937185853
"1411",142,"HC0","x0","size",0.281355621009058,0.305449975501439
"1412",142,"HC0","x1","size",0.216860425612165,0.239828636821306
"1413",142,"HC0","x2","size",0.269953753131858,0.310377495983691
"1414",142,"HC0","x3","size",0.254612993417747,0.286228142981855
"1415",142,"HC0","x4","size",0.702815843550385,0.707801942605655
"1416",142,"HC0","x0","power",0.16115270098574,0.186551573644349
"1417",142,"HC0","x1","power",0.396995642473081,0.415278128449498
"1418",142,"HC0","x2","power",0.0243571973857916,0.0439621568485881
"1419",142,"HC0","x3","power",0.00505220278327169,0.0106688389035501
"1420",142,"HC0","x4","power",0.702815843550385,0.707801942605655
"1421",143,"HC0","x0","size",0.455007105569616,0.461483905089116
"1422",143,"HC0","x1","size",0.935088095147021,0.937364123010886
"1423",143,"HC0","x2","size",0.943221915416628,0.948302272094754
"1424",143,"HC0","x3","size",0.636728486514917,0.64268691539865
"1425",143,"HC0","x4","size",0.141869031663936,0.155123228510777
"1426",143,"HC0","x0","power",0.195819938596548,0.205204751807095
"1427",143,"HC0","x1","power",0.586068046060563,0.602233076032153
"1428",143,"HC0","x2","power",0.17426458768077,0.242014642498153
"1429",143,"HC0","x3","power",0.00410869734079638,0.00753646864582014
"1430",143,"HC0","x4","power",0.141869031663936,0.155123228510777
"1431",144,"HC0","x0","size",0.562411809895513,0.585628298450477
"1432",144,"HC0","x1","size",0.509640231709392,0.534060637623284
"1433",144,"HC0","x2","size",0.768840341472757,0.77010454758343
"1434",144,"HC0","x3","size",0.863460915368599,0.869478939035238
"1435",144,"HC0","x4","size",0.739375333104409,0.74430655703341
"1436",144,"HC0","x0","power",0.884489953682562,0.890051807050881
"1437",144,"HC0","x1","power",0.274810641841768,0.308226691278439
"1438",144,"HC0","x2","power",0.105109291319679,0.112725883573491
"1439",144,"HC0","x3","power",0.148192866703769,0.180027481401896
"1440",144,"HC0","x4","power",0.739375333104409,0.74430655703341
"1441",145,"HC0","x0","size",0.901619391761411,0.905995831980169
"1442",145,"HC0","x1","size",0.921577890353749,0.923896617559065
"1443",145,"HC0","x2","size",0.753146460911814,0.765561213461587
"1444",145,"HC0","x3","size",0.562185715449463,0.565563968585654
"1445",145,"HC0","x4","size",0.104927025812494,0.121639607780153
"1446",145,"HC0","x0","power",0.7415721813606,0.753833120528849
"1447",145,"HC0","x1","power",0.572964772609755,0.587903727784252
"1448",145,"HC0","x2","power",0.0947859762190474,0.126379535337874
"1449",145,"HC0","x3","power",0.00877627091784107,0.0118173499086089
"1450",145,"HC0","x4","power",0.104927025812494,0.121639607780153
"1451",146,"HC0","x0","size",0.214518219224778,0.243715555685686
"1452",146,"HC0","x1","size",0.362896056136914,0.387677299170326
"1453",146,"HC0","x2","size",0.674175821676689,0.683942808291065
"1454",146,"HC0","x3","size",0.0426121047113075,0.0662923977063922
"1455",146,"HC0","x4","size",0.303118468569415,0.341956653131268
"1456",146,"HC0","x0","power",0.50055998388648,0.520495493711335
"1457",146,"HC0","x1","power",0.140298094639353,0.168540409903899
"1458",146,"HC0","x2","power",0.0218211845653393,0.0360001048899098
"1459",146,"HC0","x3","power",0.0793351308435942,0.110198124895389
"1460",146,"HC0","x4","power",0.303118468569415,0.341956653131268
"1461",147,"HC0","x0","size",0.626457473659123,0.64592079601734
"1462",147,"HC0","x1","size",0.376759674833363,0.411625706991366
"1463",147,"HC0","x2","size",0.0594386244071285,0.0662051704022013
"1464",147,"HC0","x3","size",0.0399458385607561,0.0489304053777549
"1465",147,"HC0","x4","size",0.0202767425233283,0.0384687918523102
"1466",147,"HC0","x0","power",0.933300479459319,0.936300436274311
"1467",147,"HC0","x1","power",0.190300566533352,0.229536654770571
"1468",147,"HC0","x2","power",0.960422702119535,0.960670115007049
"1469",147,"HC0","x3","power",0.000468637125669246,0.00124224420305181
"1470",147,"HC0","x4","power",0.0202767425233283,0.0384687918523102
"1471",148,"HC0","x0","size",0.154036768439808,0.200109825460576
"1472",148,"HC0","x1","size",0.38375427278903,0.429303118968961
"1473",148,"HC0","x2","size",0.360934904806962,0.401142450022474
"1474",148,"HC0","x3","size",0.664359215538756,0.66509622479037
"1475",148,"HC0","x4","size",0.902577447611556,0.905200965071109
"1476",148,"HC0","x0","power",0.0703217425352899,0.106875800108821
"1477",148,"HC0","x1","power",0.669921266600837,0.695168560589985
"1478",148,"HC0","x2","power",0.224876379680907,0.267105693124243
"1479",148,"HC0","x3","power",0.00449605228754401,0.00640996614186085
"1480",148,"HC0","x4","power",0.902577447611556,0.905200965071109
"1481",149,"HC0","x0","size",0.463792057924659,0.477986238169421
"1482",149,"HC0","x1","size",0.439356313099173,0.437104010220949
"1483",149,"HC0","x2","size",0.0426055092130717,0.0532506207619317
"1484",149,"HC0","x3","size",0.885131007412732,0.883883041408493
"1485",149,"HC0","x4","size",0.111096419921616,0.116312186856092
"1486",149,"HC0","x0","power",0.778292379153967,0.783929266033278
"1487",149,"HC0","x1","power",0.193769235572815,0.192641156005554
"1488",149,"HC0","x2","power",0.622674416022772,0.63033118978605
"1489",149,"HC0","x3","power",0.0113303937144864,0.014931587137499
"1490",149,"HC0","x4","power",0.111096419921616,0.116312186856092
"1491",150,"HC0","x0","size",0.192628706564274,0.243167305213659
"1492",150,"HC0","x1","size",0.364295632484941,0.400916115353687
"1493",150,"HC0","x2","size",0.411269661832419,0.418336013368458
"1494",150,"HC0","x3","size",0.0347261276868563,0.0589031456270374
"1495",150,"HC0","x4","size",0.00344587316214825,0.00804311570355838
"1496",150,"HC0","x0","power",0.127256787182404,0.175267595041695
"1497",150,"HC0","x1","power",0.54850335109764,0.575644002587444
"1498",150,"HC0","x2","power",0.00412415616120859,0.007191502945661
"1499",150,"HC0","x3","power",0.00144502235387102,0.00489359906779966
"1500",150,"HC0","x4","power",0.00344587316214825,0.00804311570355838
"1501",151,"HC0","x0","size",0.652941282542558,0.65727164773865
"1502",151,"HC0","x1","size",0.71750906352621,0.719728659291261
"1503",151,"HC0","x2","size",0.25156885243814,0.268241796894272
"1504",151,"HC0","x3","size",0.429755026362833,0.436054024482697
"1505",151,"HC0","x4","size",0.626836628119604,0.642222230988186
"1506",151,"HC0","x0","power",0.879787002410413,0.881074485606446
"1507",151,"HC0","x1","power",0.502617155857749,0.507256379894265
"1508",151,"HC0","x2","power",0.0180524410067618,0.0277021332552272
"1509",151,"HC0","x3","power",0.773988453329949,0.77582372559489
"1510",151,"HC0","x4","power",0.626836628119604,0.642222230988186
"1511",152,"HC0","x0","size",0.985396541381811,0.985635357543358
"1512",152,"HC0","x1","size",0.807845824864815,0.814821753587057
"1513",152,"HC0","x2","size",0.530298482421232,0.544920118983263
"1514",152,"HC0","x3","size",0.220765669144576,0.218228317654575
"1515",152,"HC0","x4","size",0.80596188715313,0.806502738689467
"1516",152,"HC0","x0","power",0.666593762478622,0.673445684960133
"1517",152,"HC0","x1","power",0.440092938603957,0.462270132346455
"1518",152,"HC0","x2","power",0.218409899033699,0.238750309642072
"1519",152,"HC0","x3","power",0.00103454906680649,0.00112690993441811
"1520",152,"HC0","x4","power",0.80596188715313,0.806502738689467
"1521",153,"HC0","x0","size",0.489385461710874,0.496629597122787
"1522",153,"HC0","x1","size",0.432904086595283,0.449725216746786
"1523",153,"HC0","x2","size",0.138150535963854,0.178779197503474
"1524",153,"HC0","x3","size",0.625562277581139,0.623864036781193
"1525",153,"HC0","x4","size",0.96170778772372,0.963809925454522
"1526",153,"HC0","x0","power",0.662752793956658,0.667260727103566
"1527",153,"HC0","x1","power",0.308301017219674,0.32850281617818
"1528",153,"HC0","x2","power",0.650517686955585,0.67409465801872
"1529",153,"HC0","x3","power",0.042421657557697,0.0464773495852263
"1530",153,"HC0","x4","power",0.96170778772372,0.963809925454522
"1531",154,"HC0","x0","size",0.917343579866118,0.918795091716875
"1532",154,"HC0","x1","size",0.70246967283255,0.715143805927084
"1533",154,"HC0","x2","size",0.699958280237559,0.723172768845271
"1534",154,"HC0","x3","size",0.595899692563581,0.614828244147104
"1535",154,"HC0","x4","size",0.597584998875094,0.609226284717585
"1536",154,"HC0","x0","power",0.681735988144474,0.688092644561316
"1537",154,"HC0","x1","power",0.375804228115363,0.401580861522534
"1538",154,"HC0","x2","power",0.354392667777094,0.402727974500147
"1539",154,"HC0","x3","power",0.188400076452866,0.217706255680715
"1540",154,"HC0","x4","power",0.597584998875094,0.609226284717585
"1541",155,"HC0","x0","size",0.192840358047101,0.222367627756128
"1542",155,"HC0","x1","size",0.30198273334696,0.322024662867625
"1543",155,"HC0","x2","size",0.812081488242498,0.81560701917971
"1544",155,"HC0","x3","size",0.826366097885772,0.835257384166307
"1545",155,"HC0","x4","size",0.74828340348272,0.76390740019752
"1546",155,"HC0","x0","power",0.122375060615506,0.150011862166215
"1547",155,"HC0","x1","power",0.485123766841954,0.502481156175049
"1548",155,"HC0","x2","power",0.179843406227012,0.193969367046388
"1549",155,"HC0","x3","power",0.141969445621215,0.18471040572638
"1550",155,"HC0","x4","power",0.74828340348272,0.76390740019752
"1551",156,"HC0","x0","size",0.168682057560527,0.173433071535074
"1552",156,"HC0","x1","size",0.311297251020842,0.315575698272707
"1553",156,"HC0","x2","size",0.492000015732057,0.505196382742999
"1554",156,"HC0","x3","size",0.819491693552438,0.826684256752063
"1555",156,"HC0","x4","size",0.487048083642365,0.513056241926654
"1556",156,"HC0","x0","power",0.0992026959306986,0.103321629298363
"1557",156,"HC0","x1","power",0.517438829565613,0.520393279809775
"1558",156,"HC0","x2","power",0.0989959894821101,0.113764994513513
"1559",156,"HC0","x3","power",0.120302972776145,0.14066295234989
"1560",156,"HC0","x4","power",0.487048083642365,0.513056241926654
"1561",157,"HC0","x0","size",0.122353663870856,0.143124826356341
"1562",157,"HC0","x1","size",0.114038697544877,0.134410849752915
"1563",157,"HC0","x2","size",0.606105037410782,0.616442683108947
"1564",157,"HC0","x3","size",0.0431373898075638,0.0489904324004345
"1565",157,"HC0","x4","size",0.270293350556672,0.277500908354325
"1566",157,"HC0","x0","power",0.0695992893507162,0.0877955010652034
"1567",157,"HC0","x1","power",0.199134277293388,0.219963842142514
"1568",157,"HC0","x2","power",0.00893043375238495,0.0144814446921385
"1569",157,"HC0","x3","power",0.00526378274580359,0.00727118148382866
"1570",157,"HC0","x4","power",0.270293350556672,0.277500908354325
"1571",158,"HC0","x0","size",0.559002493166922,0.582243999456681
"1572",158,"HC0","x1","size",0.78014985385006,0.786177429455146
"1573",158,"HC0","x2","size",0.153322806351461,0.15417871001975
"1574",158,"HC0","x3","size",0.484994586598269,0.508546955972683
"1575",158,"HC0","x4","size",0.210378774434173,0.258286150441379
"1576",158,"HC0","x0","power",0.897618801927492,0.902396688210699
"1577",158,"HC0","x1","power",0.442745495878521,0.460097781367655
"1578",158,"HC0","x2","power",0.25285343073009,0.254347015426907
"1579",158,"HC0","x3","power",0.0424319154736596,0.0695790562455646
"1580",158,"HC0","x4","power",0.210378774434173,0.258286150441379
"1581",159,"HC0","x0","size",0.0514689581153232,0.0604079931090395
"1582",159,"HC0","x1","size",0.0613239089926589,0.0726293962702767
"1583",159,"HC0","x2","size",0.535628422792438,0.542894788028913
"1584",159,"HC0","x3","size",0.708945191238033,0.72450964887716
"1585",159,"HC0","x4","size",0.880434667796398,0.883145145096905
"1586",159,"HC0","x0","power",0.0262965874672726,0.0334038964825313
"1587",159,"HC0","x1","power",0.141651227752434,0.154570195873917
"1588",159,"HC0","x2","power",0.0289294868775563,0.0363092903663967
"1589",159,"HC0","x3","power",0.0652049381671913,0.103404489863408
"1590",159,"HC0","x4","power",0.880434667796398,0.883145145096905
"1591",160,"HC0","x0","size",0.691449421733265,0.701973505411518
"1592",160,"HC0","x1","size",0.557381165775583,0.578203040453363
"1593",160,"HC0","x2","size",0.428619041562632,0.447900664676966
"1594",160,"HC0","x3","size",0.794533999169704,0.794037424619493
"1595",160,"HC0","x4","size",0.52639641546004,0.53497548990127
"1596",160,"HC0","x0","power",0.4731738372937,0.493206710814421
"1597",160,"HC0","x1","power",0.805035611540352,0.813094957937989
"1598",160,"HC0","x2","power",0.0363327072130508,0.0478899252578823
"1599",160,"HC0","x3","power",0.193658698989877,0.198380592721204
"1600",160,"HC0","x4","power",0.52639641546004,0.53497548990127
"1601",161,"HC0","x0","size",0.943269393197262,0.943134613335715
"1602",161,"HC0","x1","size",0.931517007249411,0.93125602629072
"1603",161,"HC0","x2","size",0.850846134774855,0.854231249067895
"1604",161,"HC0","x3","size",0.638037905780803,0.66058842910258
"1605",161,"HC0","x4","size",0.293021443801731,0.299581082444861
"1606",161,"HC0","x0","power",0.663425151772398,0.662830876593806
"1607",161,"HC0","x1","power",0.645103172835419,0.644433155714837
"1608",161,"HC0","x2","power",0.148095097211652,0.164222884097467
"1609",161,"HC0","x3","power",0.0860941983233358,0.113929984348508
"1610",161,"HC0","x4","power",0.293021443801731,0.299581082444861
"1611",162,"HC0","x0","size",0.358611052341474,0.378128760414168
"1612",162,"HC0","x1","size",0.56095604269789,0.573521763793147
"1613",162,"HC0","x2","size",0.705619915075175,0.712641403769034
"1614",162,"HC0","x3","size",0.929517997918621,0.931739483712763
"1615",162,"HC0","x4","size",0.35449951107058,0.387215661348831
"1616",162,"HC0","x0","power",0.619048597747343,0.630567843002688
"1617",162,"HC0","x1","power",0.315809608126646,0.337778921732646
"1618",162,"HC0","x2","power",0.0729949101752834,0.0897326248517658
"1619",162,"HC0","x3","power",0.111346640951426,0.137941757082063
"1620",162,"HC0","x4","power",0.35449951107058,0.387215661348831
"1621",163,"HC0","x0","size",0.0442925477163806,0.0609068910927268
"1622",163,"HC0","x1","size",0.193402394195822,0.22619305625659
"1623",163,"HC0","x2","size",0.0766598498486039,0.0792650090947334
"1624",163,"HC0","x3","size",0.551669645016188,0.607835748508305
"1625",163,"HC0","x4","size",0.0198505350746801,0.0341237873917053
"1626",163,"HC0","x0","power",0.0204494038650053,0.0319909499300135
"1627",163,"HC0","x1","power",0.370186992343336,0.399981530755404
"1628",163,"HC0","x2","power",0.000473956207877192,0.000653875902831419
"1629",163,"HC0","x3","power",0.125499759208134,0.224235203738265
"1630",163,"HC0","x4","power",0.0198505350746801,0.0341237873917053
"1631",164,"HC0","x0","size",0.275398567844231,0.319504320148216
"1632",164,"HC0","x1","size",0.1330181073937,0.151719135305734
"1633",164,"HC0","x2","size",0.436483454495507,0.445083320029084
"1634",164,"HC0","x3","size",0.0900866298027976,0.116734742655778
"1635",164,"HC0","x4","size",0.685489243543978,0.698881341306781
"1636",164,"HC0","x0","power",0.481712761259812,0.518587560271909
"1637",164,"HC0","x1","power",0.0619101693021381,0.0769957458060497
"1638",164,"HC0","x2","power",0.200669973173234,0.212534556998542
"1639",164,"HC0","x3","power",0.331397453344126,0.362407132191759
"1640",164,"HC0","x4","power",0.685489243543978,0.698881341306781
"1641",165,"HC0","x0","size",0.955958342918294,0.957288369467656
"1642",165,"HC0","x1","size",0.423595613958028,0.438115609517386
"1643",165,"HC0","x2","size",0.168238990714586,0.182691787230475
"1644",165,"HC0","x3","size",0.115971212036093,0.111709701236694
"1645",165,"HC0","x4","size",0.916240059149337,0.920285202150726
"1646",165,"HC0","x0","power",0.646297313680416,0.659238390259718
"1647",165,"HC0","x1","power",0.187537028489461,0.203878372878998
"1648",165,"HC0","x2","power",0.280040408528085,0.293896533588976
"1649",165,"HC0","x3","power",0.258578370842602,0.249807040503725
"1650",165,"HC0","x4","power",0.916240059149337,0.920285202150726
"1651",166,"HC0","x0","size",0.485973414256963,0.501214576685372
"1652",166,"HC0","x1","size",0.483470288056597,0.524759209252574
"1653",166,"HC0","x2","size",0.773663136094821,0.776060735119698
"1654",166,"HC0","x3","size",0.481181110922015,0.535646001530737
"1655",166,"HC0","x4","size",0.765483948506106,0.784713668691814
"1656",166,"HC0","x0","power",0.292137758973545,0.310827682557676
"1657",166,"HC0","x1","power",0.748734329419955,0.768774343260333
"1658",166,"HC0","x2","power",0.111809388551489,0.123344197931418
"1659",166,"HC0","x3","power",0.071586907361508,0.132041020645429
"1660",166,"HC0","x4","power",0.765483948506106,0.784713668691814
"1661",167,"HC0","x0","size",0.989389085633232,0.989883283184518
"1662",167,"HC0","x1","size",0.848755818828574,0.854504552603529
"1663",167,"HC0","x2","size",0.373006189583291,0.419628382549372
"1664",167,"HC0","x3","size",0.495609217362563,0.508045658108925
"1665",167,"HC0","x4","size",0.401177101370226,0.407836836198158
"1666",167,"HC0","x0","power",0.752244098993446,0.766012568511525
"1667",167,"HC0","x1","power",0.55536650438145,0.574434070576589
"1668",167,"HC0","x2","power",0.0233497243627435,0.0454632364535889
"1669",167,"HC0","x3","power",0.000144032256690959,0.000474125294282436
"1670",167,"HC0","x4","power",0.401177101370226,0.407836836198158
"1671",168,"HC0","x0","size",0.138697334828537,0.154134337228899
"1672",168,"HC0","x1","size",0.0795703689393665,0.0977828181774691
"1673",168,"HC0","x2","size",0.0143245750261265,0.0171461184451112
"1674",168,"HC0","x3","size",0.499571006351988,0.540834875740021
"1675",168,"HC0","x4","size",0.563283995782251,0.570499500793016
"1676",168,"HC0","x0","power",0.0592530025992376,0.0716596275162875
"1677",168,"HC0","x1","power",0.202504546725191,0.223632913384815
"1678",168,"HC0","x2","power",0.000175989348187893,0.000343596513881538
"1679",168,"HC0","x3","power",0.0263032434057764,0.0538705360340706
"1680",168,"HC0","x4","power",0.563283995782251,0.570499500793016
"1681",169,"HC0","x0","size",0.446033901199644,0.458995912337374
"1682",169,"HC0","x1","size",0.457358504165915,0.469994593863021
"1683",169,"HC0","x2","size",0.57952210024096,0.590759458841256
"1684",169,"HC0","x3","size",0.610824340666716,0.617298148258731
"1685",169,"HC0","x4","size",0.974505474088504,0.97458685862796
"1686",169,"HC0","x0","power",0.225235198371972,0.242973396669774
"1687",169,"HC0","x1","power",0.850664677342012,0.853723293644436
"1688",169,"HC0","x2","power",0.012079083413303,0.0207087077927195
"1689",169,"HC0","x3","power",0.00164820513641149,0.00341271489551835
"1690",169,"HC0","x4","power",0.974505474088504,0.97458685862796
"1691",170,"HC0","x0","size",0.399287399955419,0.412145972131681
"1692",170,"HC0","x1","size",0.429108211724659,0.442685013555777
"1693",170,"HC0","x2","size",0.379890698972028,0.388094098439651
"1694",170,"HC0","x3","size",0.028535980771385,0.0299530467496333
"1695",170,"HC0","x4","size",0.105710995440993,0.141203898427577
"1696",170,"HC0","x0","power",0.646084065028753,0.652643970395124
"1697",170,"HC0","x1","power",0.228008932525239,0.245577955600423
"1698",170,"HC0","x2","power",0.113121933769548,0.122181672808285
"1699",170,"HC0","x3","power",0.886580873134397,0.886124886831361
"1700",170,"HC0","x4","power",0.105710995440993,0.141203898427577
"1701",171,"HC0","x0","size",0.00381273502657435,0.0140680898330351
"1702",171,"HC0","x1","size",0.000846691168601833,0.00384447375338276
"1703",171,"HC0","x2","size",0.029650051075403,0.043593316008344
"1704",171,"HC0","x3","size",0.842802055501906,0.844228758733524
"1705",171,"HC0","x4","size",0.00663319336293614,0.0142667393851379
"1706",171,"HC0","x0","power",0.0103631523284027,0.0285620575267142
"1707",171,"HC0","x1","power",0.000267292255575679,0.00166014187436867
"1708",171,"HC0","x2","power",0.92273370334215,0.924770637572283
"1709",171,"HC0","x3","power",0.0347407487768988,0.0426382093729848
"1710",171,"HC0","x4","power",0.00663319336293614,0.0142667393851379
"1711",172,"HC0","x0","size",0.0122513524314285,0.0207496931216243
"1712",172,"HC0","x1","size",0.0172415635887574,0.0282417839218495
"1713",172,"HC0","x2","size",0.788347970553756,0.79254611779351
"1714",172,"HC0","x3","size",0.1248238214485,0.167346283812102
"1715",172,"HC0","x4","size",0.746543967885819,0.750162459434717
"1716",172,"HC0","x0","power",0.0235223323341031,0.03531443728136
"1717",172,"HC0","x1","power",0.00765665129584375,0.0148493693730187
"1718",172,"HC0","x2","power",0.0419215670508408,0.0533852415446785
"1719",172,"HC0","x3","power",0.778368270855585,0.793739100828514
"1720",172,"HC0","x4","power",0.746543967885819,0.750162459434717
"1721",173,"HC0","x0","size",0.240950068285499,0.255814433790884
"1722",173,"HC0","x1","size",0.193677817065502,0.211193616283716
"1723",173,"HC0","x2","size",0.0903660522931962,0.104174792724884
"1724",173,"HC0","x3","size",0.868967960074834,0.869927989701504
"1725",173,"HC0","x4","size",0.694982647045039,0.711823568258678
"1726",173,"HC0","x0","power",0.593277211303742,0.599431912094393
"1727",173,"HC0","x1","power",0.0573125160839358,0.0712978758259585
"1728",173,"HC0","x2","power",0.159997887102674,0.174789316289394
"1729",173,"HC0","x3","power",0.124271326483971,0.132910315756538
"1730",173,"HC0","x4","power",0.694982647045039,0.711823568258678
"1731",174,"HC0","x0","size",0.271675407561814,0.331589325082053
"1732",174,"HC0","x1","size",0.305509488965658,0.358892845037311
"1733",174,"HC0","x2","size",0.293162820706667,0.312029466111939
"1734",174,"HC0","x3","size",0.120094438252446,0.170871168062844
"1735",174,"HC0","x4","size",0.219719077915403,0.226877064356104
"1736",174,"HC0","x0","power",0.171645211866228,0.23196919969646
"1737",174,"HC0","x1","power",0.461568331429463,0.50322367673395
"1738",174,"HC0","x2","power",0.0451617537691119,0.0633416616142552
"1739",174,"HC0","x3","power",0.00264875630140395,0.0139217502187542
"1740",174,"HC0","x4","power",0.219719077915403,0.226877064356104
"1741",175,"HC0","x0","size",0.252611202307389,0.275016455400869
"1742",175,"HC0","x1","size",0.331805264095619,0.342910482885231
"1743",175,"HC0","x2","size",0.484079519688846,0.492325082240937
"1744",175,"HC0","x3","size",0.310397400073769,0.309533959067551
"1745",175,"HC0","x4","size",0.784037239682179,0.788238600052218
"1746",175,"HC0","x0","power",0.109650078631752,0.130128571041099
"1747",175,"HC0","x1","power",0.720491220546814,0.724306308790044
"1748",175,"HC0","x2","power",0.0212917582940829,0.0298386084763703
"1749",175,"HC0","x3","power",0.120621225403408,0.1227893049826
"1750",175,"HC0","x4","power",0.784037239682179,0.788238600052218
"1751",176,"HC0","x0","size",0.847274284771929,0.856913010488727
"1752",176,"HC0","x1","size",0.719324739915477,0.731472181369177
"1753",176,"HC0","x2","size",0.297741853776622,0.331307188237011
"1754",176,"HC0","x3","size",0.000477143719519161,0.000867953720947738
"1755",176,"HC0","x4","size",0.449933896113652,0.458784141863001
"1756",176,"HC0","x0","power",0.693461292172197,0.71380332172453
"1757",176,"HC0","x1","power",0.764590041024541,0.774698004064164
"1758",176,"HC0","x2","power",0.372224825990222,0.405599651780645
"1759",176,"HC0","x3","power",1.46580136232563e-06,5.42313519717524e-06
"1760",176,"HC0","x4","power",0.449933896113652,0.458784141863001
"1761",177,"HC0","x0","size",0.905057202653822,0.908857073596357
"1762",177,"HC0","x1","size",0.883193235274242,0.885913493969681
"1763",177,"HC0","x2","size",0.271252911154139,0.295448503955862
"1764",177,"HC0","x3","size",0.0927736481009591,0.113785546750798
"1765",177,"HC0","x4","size",0.948685264358692,0.950950341538198
"1766",177,"HC0","x0","power",0.603447999835603,0.621108094535123
"1767",177,"HC0","x1","power",0.57162974776602,0.583237421443552
"1768",177,"HC0","x2","power",0.00811951287661868,0.0129403065096884
