"","method","E_0","E_1","E_2","E_3","E_4","E_4m","E_5","N_0","N_1","N_2","N_3","N_4","N_4m","N_5","S_0","S_1","S_2","S_3","S_4","S_4m","S_5","S_E_0","S_E_1","S_E_2","S_E_3","S_E_4","S_E_4m","S_E_5","S_M_0","S_M_1","S_M_2","S_M_3","S_M_4","S_M_4m","S_M_5"
"1","E_0",0,3.33,5.24,5.24,5.24,5.24,2.86,100,20.95,2.38,5.24,5.24,5.24,1.43,100,1.43,2.86,5.24,5.24,5.24,2.38,4.76,5.24,5.24,5.24,5.24,5.24,5.24,0.48,5.24,5.24,5.24,5.24,5.24,5.24
"2","E_1",96.67,0,23.81,63.33,54.29,64.29,42.86,100,91.43,88.1,48.57,33.33,58.1,85.24,100,90.95,41.9,64.29,63.33,64.29,49.52,39.05,48.1,60,64.29,64.29,64.29,57.14,91.9,25.24,39.05,64.29,64.29,64.29,31.43
"3","E_2",94.76,75.71,0,86.19,77.14,87.62,65.24,100,90,85.24,64.76,52.38,76.19,88.57,100,89.05,61.43,87.62,86.19,87.62,64.76,68.57,65.71,79.05,87.62,87.62,87.62,77.14,90.48,55.71,60,87.62,87.62,87.62,50
"4","E_3",94.76,36.67,13.81,0,6.19,96.67,28.1,100,86.67,68.57,9.05,10,5.71,82.38,100,83.33,24.76,96.67,65.71,99.52,32.38,30.95,9.05,9.52,99.05,98.1,99.05,6.19,88.1,19.05,8.57,95.71,86.19,99.52,5.71
"5","E_4",94.76,45.71,22.38,93.33,0,96.67,37.62,100,86.67,71.43,26.19,13.33,74.29,82.38,100,84.29,33.81,99.52,99.52,99.52,39.52,40.95,36.19,74.29,99.52,99.52,99.52,64.29,88.1,23.81,10,99.52,99.05,99.52,9.05
"6","E_4m",94.76,35.71,12.38,2.86,3.33,0,26.67,100,86.67,68.57,7.62,6.67,4.29,82.38,100,83.33,24.29,77.62,33.81,100,30,30,9.05,4.76,97.14,96.67,97.62,2.86,88.1,19.05,7.62,90,50.48,97.62,4.29
"7","E_5",97.14,54.29,33.81,71.9,62.38,73.33,0,100,91.43,88.1,53.33,38.1,61.9,89.05,100,90.48,39.52,73.33,73.33,73.33,53.81,50.48,56.19,68.57,73.33,73.33,73.33,64.29,91.9,45.24,44.76,73.33,73.33,73.33,37.62
"8","N_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","N_1",79.05,8.1,10,13.33,13.33,13.33,8.57,100,0,5.71,13.33,10.48,13.33,34.76,100,14.29,9.52,13.33,13.33,13.33,9.05,9.52,13.33,13.33,13.33,13.33,13.33,13.33,48.57,10,11.9,13.33,13.33,13.33,10.95
"10","N_2",97.62,11.9,14.76,31.43,28.57,31.43,11.43,100,94.29,0,29.05,19.52,30.95,73.33,100,87.62,12.86,31.43,31.43,31.43,19.52,11.43,29.52,31.43,31.43,31.43,31.43,30.48,90.95,13.33,22.86,31.43,31.43,31.43,18.57
