"","method","E_0","E_1","E_2","E_3","E_4","E_4m","E_5","N_0","N_1","N_2","N_3","N_4","N_4m","N_5","S_0","S_1","S_2","S_3","S_4","S_4m","S_5","S_E_0","S_E_1","S_E_2","S_E_3","S_E_4","S_E_4m","S_E_5","S_M_0","S_M_1","S_M_2","S_M_3","S_M_4","S_M_4m","S_M_5"
"11","N_3",94.76,50.95,34.29,90.95,71.9,92.38,46.67,100,86.67,70.95,0,12.86,90.48,82.38,100,84.29,42.38,92.86,91.43,92.86,40.48,44.29,56.19,90,92.86,92.86,92.86,83.33,88.1,30.48,21.43,92.86,92.86,92.86,16.67
"12","N_4",94.76,66.19,45.71,90,86.67,92.86,60.48,100,89.52,80.48,86.19,0,87.14,84.29,100,86.19,61.43,93.33,91.9,93.33,56.67,59.52,81.9,88.57,93.33,93.33,93.33,87.14,89.52,45.24,65.71,93.33,93.33,93.33,35.71
"13","N_4m",94.76,41.9,22.86,93.33,20,95.71,37.62,100,86.67,68.57,9.52,12.86,0,82.38,100,83.33,29.52,97.14,89.52,97.14,34.76,36.19,21.9,56.67,97.14,97.14,97.14,36.67,88.1,22.38,10,97.14,96.19,97.14,10.95
"14","N_5",98.57,14.76,11.43,17.62,17.62,17.62,10.95,100,61.43,25.71,17.62,15.71,17.62,0,100,50.48,11.43,17.62,17.62,17.62,11.43,14.76,17.62,17.62,17.62,17.62,17.62,17.62,68.57,14.76,16.67,17.62,17.62,17.62,15.71
"15","S_0",0,0,0,0,0,0,0,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","S_1",98.57,9.05,10.95,16.67,15.71,16.67,9.52,100,82.38,11.9,15.71,13.81,16.67,46.19,100,0,10,16.67,16.67,16.67,10,10.95,16.19,16.67,16.67,16.67,16.67,16.19,90,11.9,14.76,16.67,16.67,16.67,13.33
"17","S_2",97.14,54.29,37.62,75.24,66.19,75.71,51.43,100,90.48,87.14,57.14,38.1,70.48,88.57,100,90,0,75.71,75.71,75.71,55.24,52.86,62.86,71.43,75.71,75.71,75.71,68.1,90.95,44.29,46.67,75.71,75.71,75.71,40.48
"18","S_3",94.76,35.71,12.38,2.86,0.48,18.1,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,0,2.38,100,28.1,30,9.05,3.33,77.14,77.14,92.86,0.48,88.1,19.05,7.14,46.19,5.71,87.14,2.86
"19","S_4",94.76,36.67,13.81,30,0.48,64.76,26.67,100,86.67,68.57,8.1,8.1,8.57,82.38,100,83.33,24.29,95.71,0,100,28.1,30.95,11.43,14.76,88.1,92.38,98.57,3.33,88.1,19.52,7.62,80.95,66.67,99.05,3.33
"20","S_4m",94.76,35.71,12.38,0.48,0.48,0,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,0,0,0,28.1,30,9.05,2.38,21.9,4.76,52.38,0,88.1,19.05,7.14,0,0,10,2.86
"21","S_5",97.62,50,34.29,67.62,60,70,44.76,100,90.95,77.14,58.1,42.38,64.29,88.57,100,90,43.33,71.9,71.9,71.9,0,47.62,57.62,66.19,71.9,71.9,71.9,63.81,91.9,40,51.43,71.9,71.9,71.9,39.05
"22","S_E_0",94.76,57.62,29.52,69.05,58.57,70,46.19,100,90,88.57,54.76,40,63.81,84.29,100,88.57,43.81,70,68.57,70,50.95,0,54.29,65.24,70,70,70,61.43,90.95,29.05,44.76,70,70,70,37.62
"23","S_E_1",94.76,50.48,33.33,90.95,61.9,90.95,41.9,100,86.67,70.48,41.43,17.62,76.67,82.38,100,83.81,35.71,90.95,87.62,90.95,41.9,45.24,0,88.57,91.43,90.95,91.43,71.43,88.1,29.52,12.38,90.95,90.48,90.95,15.71
"24","S_E_2",94.76,40,20,87.14,22.86,95.24,31.43,100,86.67,68.57,10,11.43,34.29,82.38,100,83.33,27.62,96.67,83.33,97.62,32.86,34.29,11.43,0,97.14,97.62,97.62,25.24,88.1,21.43,9.52,96.19,93.33,97.62,7.62
"25","S_E_3",94.76,35.71,12.38,0.95,0.48,1.9,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,19.52,10.95,75.24,28.1,30,8.57,2.86,0,34.29,86.67,0,88.1,19.05,7.14,5.24,8.57,46.67,2.86
"26","S_E_4",94.76,35.71,12.38,1.9,0.48,2.86,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,18.57,4.76,93.33,28.1,30,9.05,2.38,61.9,0,90.95,0.48,88.1,19.05,7.14,10,0.95,69.52,2.86
"27","S_E_4m",94.76,35.71,12.38,0.95,0.48,1.9,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,5.71,0.48,42.38,28.1,30,8.57,2.38,8.1,5.71,0,0,88.1,19.05,7.14,1.9,1.43,7.62,2.86
"28","S_E_5",94.76,42.86,22.38,92.86,29.05,97.14,35.24,100,86.67,68.57,14.76,11.9,56.67,82.38,100,83.33,30.48,99.52,96.19,100,35.71,38.57,25.24,71.43,100,99.52,100,0,88.1,23.33,9.05,99.52,98.57,100,8.1
"29","S_M_0",99.52,8.1,9.52,11.9,11.9,11.9,7.62,100,47.14,7.62,11.9,10.48,11.9,30,100,9.52,9.05,11.9,11.9,11.9,7.62,9.05,11.9,11.9,11.9,11.9,11.9,11.9,0,9.52,11.43,11.9,11.9,11.9,10.48
"30","S_M_1",94.76,73.81,43.33,80.95,75.71,80.95,54.76,100,90,86.19,69.52,50.48,77.14,85.24,100,88.1,53.81,80.95,80.48,80.95,58.1,65.71,68.57,78.57,80.95,80.95,80.95,76.67,90.48,0,57.14,80.95,80.95,80.95,43.81
"31","S_M_2",94.76,60.48,39.52,91.43,89.52,92.38,54.76,100,87.62,77.14,76.67,32.38,90,83.33,100,85.24,52.38,92.86,92.38,92.86,47.62,55.24,86.67,90.48,92.86,92.86,92.86,90.48,88.57,42.38,0,92.86,92.38,92.86,30.48
"32","S_M_3",94.76,35.71,12.38,3.33,0.48,7.62,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,48.1,16.67,100,28.1,30,9.05,3.33,93.33,84.29,97.62,0.48,88.1,19.05,7.14,0,19.52,95.24,2.86
"33","S_M_4",94.76,35.71,12.38,10.48,0.48,44.76,26.67,100,86.67,68.57,7.14,6.67,3.33,82.38,100,83.33,24.29,90.95,28.57,100,28.1,30,9.05,6.19,88.57,97.62,98.57,0.48,88.1,19.05,7.14,74.76,0,99.05,2.86
"34","S_M_4m",94.76,35.71,12.38,0.48,0.48,1.43,26.67,100,86.67,68.57,7.14,6.67,2.86,82.38,100,83.33,24.29,10,0.48,85.71,28.1,30,9.05,2.38,45.24,24.29,86.67,0,88.1,19.05,7.14,2.38,0.95,0,2.86
"35","S_M_5",94.76,68.1,48.57,93.81,90.95,95.71,61.9,100,89.05,80.95,83.33,60.95,87.62,84.29,100,86.67,59.52,97.14,96.67,97.14,60.95,61.43,83.33,91.9,97.14,97.14,97.14,90.95,89.52,51.9,67.14,97.14,97.14,97.14,0
