"","Estruct","Edist","seed","x1","x2","x3","x4","ratio"
"1","E0","En",773109451,0.99907606203437,1.00506560236879,1.00131483703122,0.999318682459779,1.00119379597354
"2","E1","En",325537324,1.31858509184442,1.24947541707053,1.20055102728013,1.09237965364016,1.21524779745881
"3","E2","En",331321740,1.29006019327763,1.2332156451352,1.47220019551801,1.20844196987138,1.30097950095056
"4","E3","En",672771589,1.86200991056042,1.62869140226195,2.99289110227857,2.15137353342825,2.1587414871323
"5","E4","En",166198529,3.08303908310049,2.73305486583914,3.72458665597487,1.6535785654903,2.7985647926012
"6","E5","En",240389527,1.46897788345647,1.49548220933026,1.33040669997435,1.1407962458196,1.35891575964517
"7","E6","En",308398800,3.54913749710286,3.98095004904721,2.66196393026898,1.39180772108289,2.89596479937549
"8","E0","Ech",1012630554,1.00721259456639,1.00811475107324,1.00244653983274,1.00531059192647,1.00577111934971
"9","E1","Ech",882512144,1.32874011033071,1.2460997463718,1.20934389198954,1.09352612962964,1.21942746958042
"10","E2","Ech",503841197,1.28534997754018,1.22909293784942,1.4746436404875,1.21870140222675,1.30194698952596
"11","E3","Ech",268467842,1.88657507503923,1.64964711959126,3.00115729051201,2.13355611735703,2.16773390062488
"12","E4","Ech",989922096,3.08266872093312,2.77072144874399,3.72232878695709,1.64862741512805,2.80608659294056
"13","E5","Ech",875422235,1.48053778757547,1.51159179088775,1.33524696460449,1.13551699995553,1.36572338575581
"14","E6","Ech",228201368,3.55013965458661,3.95912259058637,2.70265577864903,1.38515232087114,2.89926758617329
"15","E0","Et",324785913,0.993774693557017,0.992575162494262,0.99355143699115,1.00835788410981,0.997064794288059
"16","E1","Et",864117778,1.30708025874166,1.25604440428198,1.20690792822676,1.08834046964949,1.21459326522497
"17","E2","Et",894505010,1.28828167405785,1.2275910599154,1.46688011826575,1.22692553350331,1.30241959643558
"18","E3","Et",525556504,1.83686823660212,1.63579041602148,2.9876075766609,2.14959733389086,2.15246589079384
"19","E4","Et",416010478,3.08350913204418,2.70867319141038,3.75636048156684,1.66408696354489,2.80315744214157
"20","E5","Et",323944879,1.46669491715605,1.49564058108739,1.31757833881893,1.14136087645276,1.35531867837878
"21","E6","Et",215609542,3.49300942045671,3.99590613845251,2.69821477706501,1.37642552356319,2.89088896488436
