"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x0","power","naive",0.0125,0.059,0.1095,0
"2",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x0","power","edgeKC",0.007,0.0325,0.07,0
"3",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x0","size","naive",0.0125,0.059,0.1095,0
"4",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x0","size","edgeKC",0.007,0.0325,0.07,0
"5",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x1","power","naive",0.9995,1,1,0
"6",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x1","power","edgeKC",0.9975,1,1,0
"7",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x1","size","naive",0.0135,0.05,0.1015,0
"8",25,1,"unif","naive edgeKC",2000,448230207,"HC2","x1","size","edgeKC",0.0095,0.0325,0.077,0
"9",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x0","power","naive",0.01,0.0495,0.09,0
"10",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x0","power","edgeKC",0.0045,0.0245,0.0585,0
"11",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x0","size","naive",0.01,0.0495,0.09,0
"12",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x0","size","edgeKC",0.0045,0.0245,0.0585,0
"13",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x1","power","naive",0.9975,1,1,0
"14",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x1","power","edgeKC",0.9965,1,1,0
"15",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x1","size","naive",0.0095,0.04,0.0825,0
"16",25,1,"unif","naive edgeKC",2000,448230207,"HC3","x1","size","edgeKC",0.007,0.025,0.0595,0
"17",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x0","power","naive",0.0105,0.052,0.0985,0
"18",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x0","power","edgeKC",0.0065,0.032,0.077,0
"19",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x0","size","naive",0.0105,0.052,0.0985,0
"20",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x0","size","edgeKC",0.0065,0.032,0.077,0
"21",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x1","power","naive",1,1,1,0
"22",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x1","power","edgeKC",1,1,1,0
"23",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x1","size","naive",0.013,0.0505,0.0965,0
"24",40,1,"unif","naive edgeKC",2000,147985649,"HC2","x1","size","edgeKC",0.009,0.0375,0.0845,0
"25",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x0","power","naive",0.01,0.0465,0.0885,0
"26",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x0","power","edgeKC",0.005,0.024,0.0695,0
"27",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x0","size","naive",0.01,0.0465,0.0885,0
"28",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x0","size","edgeKC",0.005,0.024,0.0695,0
"29",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x1","power","naive",1,1,1,0
"30",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x1","power","edgeKC",1,1,1,0
"31",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x1","size","naive",0.0095,0.0425,0.087,0
"32",40,1,"unif","naive edgeKC",2000,147985649,"HC3","x1","size","edgeKC",0.0075,0.0335,0.0715,0
"33",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x0","power","naive",0.015,0.0595,0.1085,0
"34",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x0","power","edgeKC",0.008,0.036,0.0705,0
"35",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x0","size","naive",0.015,0.0595,0.1085,0
"36",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x0","size","edgeKC",0.008,0.036,0.0705,0
"37",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x1","power","naive",0.1665,0.3785,0.497,0
"38",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x1","power","edgeKC",0.127,0.313,0.4365,0
"39",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x1","size","naive",0.0135,0.052,0.104,0
"40",25,2,"unif","naive edgeKC",2000,246158239,"HC2","x1","size","edgeKC",0.008,0.0405,0.0795,0
"41",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x0","power","naive",0.011,0.052,0.0955,0
"42",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x0","power","edgeKC",0.007,0.027,0.0595,0
"43",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x0","size","naive",0.011,0.052,0.0955,0
"44",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x0","size","edgeKC",0.007,0.027,0.0595,0
"45",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x1","power","naive",0.1375,0.335,0.4565,0
"46",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x1","power","edgeKC",0.1,0.27,0.4055,0
"47",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x1","size","naive",0.0095,0.0465,0.0875,0
"48",25,2,"unif","naive edgeKC",2000,246158239,"HC3","x1","size","edgeKC",0.0055,0.0305,0.0625,0
"49",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x0","power","naive",0.0175,0.0555,0.108,0
"50",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x0","power","edgeKC",0.008,0.04,0.0805,0
"51",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x0","size","naive",0.0175,0.0555,0.108,0
"52",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x0","size","edgeKC",0.008,0.04,0.0805,0
"53",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x1","power","naive",0.296,0.5445,0.6535,0
"54",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x1","power","edgeKC",0.231,0.503,0.626,0
"55",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x1","size","naive",0.0155,0.0645,0.122,0
"56",40,2,"unif","naive edgeKC",2000,949522170,"HC2","x1","size","edgeKC",0.009,0.0545,0.1055,0
"57",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x0","power","naive",0.0135,0.0475,0.097,0
"58",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x0","power","edgeKC",0.007,0.0355,0.072,0
"59",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x0","size","naive",0.0135,0.0475,0.097,0
"60",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x0","size","edgeKC",0.007,0.0355,0.072,0
"61",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x1","power","naive",0.254,0.522,0.6335,0
"62",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x1","power","edgeKC",0.208,0.4725,0.6005,0
"63",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x1","size","naive",0.012,0.058,0.1115,0
"64",40,2,"unif","naive edgeKC",2000,949522170,"HC3","x1","size","edgeKC",0.008,0.0465,0.091,0
"65",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x0","power","naive",0.0065,0.0425,0.0945,0
"66",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x0","power","edgeKC",0.002,0.021,0.0555,0
"67",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x0","size","naive",0.0065,0.0425,0.0945,0
"68",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x0","size","edgeKC",0.002,0.021,0.0555,0
"69",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x1","power","naive",0.2955,0.5375,0.6465,0
"70",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x1","power","edgeKC",0.242,0.4605,0.6,0
"71",25,3,"unif","naive edgeKC",2000,823594474,"HC2","x1","size","naive",0.0195,0.0655,0.1205,0
