"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"48",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","size","jack",0.1915,0.2545,0.2845,0.503
"49",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","naive",0.006,0.0425,0.091,0
"50",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","edgeKC",0.003,0.022,0.051,0
"51",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","jack",0.0865,0.1545,0.194,0.493
"52",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","naive",0.006,0.0425,0.091,0
"53",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","edgeKC",0.003,0.022,0.051,0
"54",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","jack",0.0865,0.1545,0.194,0.493
"55",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","power","naive",0.2895,0.5065,0.636,0
"56",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","power","edgeKC",0.234,0.4465,0.5715,0
"57",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","power","jack",0.4495,0.4815,0.4885,0.4925
"58",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","size","naive",0.0165,0.057,0.1115,0
"59",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","size","edgeKC",0.012,0.0425,0.088,0
"60",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","size","jack",0.13,0.2065,0.244,0.4925
"61",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","power","naive",0.0055,0.0445,0.0965,0
"62",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","power","edgeKC",0.0035,0.0265,0.072,0
"63",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","power","jack",0.1015,0.1705,0.215,0.4975
"64",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","size","naive",0.0055,0.0445,0.0965,0
"65",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","size","edgeKC",0.0035,0.0265,0.072,0
"66",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x0","size","jack",0.1015,0.1705,0.215,0.4975
"67",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","power","naive",0.487,0.7125,0.8075,0
"68",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","power","edgeKC",0.4305,0.6685,0.783,0
"69",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","power","jack",0.4935,0.496,0.497,0.4985
"70",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","size","naive",0.0125,0.0595,0.108,0
"71",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","size","edgeKC",0.0075,0.0435,0.092,0
"72",40,3,"unif","naive edgeKC jack",2000,246120222,"HC2","x1","size","jack",0.158,0.2325,0.2715,0.4985
"73",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","power","naive",0.0075,0.051,0.1055,0
"74",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","power","edgeKC",0.0055,0.0395,0.0865,0
"75",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","power","jack",0.2325,0.2955,0.3255,0.498
"76",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","size","naive",0.0075,0.051,0.1055,0
"77",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","size","edgeKC",0.0055,0.0395,0.0865,0
"78",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x0","size","jack",0.2325,0.2955,0.3255,0.498
"79",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","power","naive",1,1,1,0
"80",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","power","edgeKC",1,1,1,0
"81",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","power","jack",0.5015,0.5015,0.5015,0.4985
"82",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","size","naive",0.0195,0.0695,0.121,0
"83",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","size","edgeKC",0.009,0.0385,0.084,0
"84",25,1,"norm","naive edgeKC jack",2000,109892110,"HC2","x1","size","jack",0.034,0.063,0.0875,0.4985
"85",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","power","naive",0.0135,0.053,0.1045,0
"86",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","power","edgeKC",0.01,0.044,0.098,0
"87",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","power","jack",0.3125,0.355,0.38,0.4925
"88",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","size","naive",0.0135,0.053,0.1045,0
"89",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","size","edgeKC",0.01,0.044,0.098,0
"90",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x0","size","jack",0.3125,0.355,0.38,0.4925
"91",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","power","naive",1,1,1,0
"92",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","power","edgeKC",1,1,1,0
"93",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","power","jack",0.5,0.5,0.5,0.5
"94",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","size","naive",0.017,0.0625,0.1245,0
"95",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","size","edgeKC",0.009,0.042,0.091,0
"96",40,1,"norm","naive edgeKC jack",2000,867342200,"HC2","x1","size","jack",0.0495,0.08,0.104,0.5
"97",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","power","naive",0.013,0.055,0.1005,0
"98",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","power","edgeKC",0.007,0.0425,0.084,0
"99",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","power","jack",0.328,0.362,0.3855,0.5055
"100",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","size","naive",0.013,0.055,0.1005,0
"101",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","size","edgeKC",0.007,0.0425,0.084,0
"102",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x0","size","jack",0.328,0.362,0.3855,0.5055
"103",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","power","naive",0.9195,0.9715,0.984,0
"104",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","power","edgeKC",0.8815,0.953,0.9745,0
"105",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","power","jack",0.4855,0.4855,0.4855,0.5145
"106",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","size","naive",0.022,0.0825,0.1385,0
"107",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","size","edgeKC",0.0115,0.0485,0.0955,0
"108",25,2,"norm","naive edgeKC jack",2000,558918345,"HC2","x1","size","jack",0.091,0.16,0.208,0.5145
"109",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","power","naive",0.0115,0.0485,0.0995,0
"110",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","power","edgeKC",0.009,0.042,0.089,0
"111",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","power","jack",0.38,0.4005,0.413,0.512
"112",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","size","naive",0.0115,0.0485,0.0995,0
"113",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","size","edgeKC",0.009,0.042,0.089,0
"114",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x0","size","jack",0.38,0.4005,0.413,0.512
"115",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","power","naive",0.9835,0.9925,0.9965,0
"116",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","power","edgeKC",0.975,0.9895,0.9945,0
"117",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","power","jack",0.4935,0.4935,0.4935,0.5065
"118",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","size","naive",0.0195,0.066,0.1145,0
"119",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","size","edgeKC",0.01,0.0475,0.093,0
"120",40,2,"norm","naive edgeKC jack",2000,610375673,"HC2","x1","size","jack",0.131,0.2,0.246,0.5065
"121",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","power","naive",0.006,0.046,0.0945,0
"122",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","power","edgeKC",0.005,0.0285,0.076,0
"123",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","power","jack",0.3265,0.3715,0.393,0.502
"124",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","size","naive",0.006,0.046,0.0945,0
"125",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","size","edgeKC",0.005,0.0285,0.076,0
"126",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x0","size","jack",0.3265,0.3715,0.393,0.502
"127",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","power","naive",0.658,0.8305,0.8935,0
"128",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","power","edgeKC",0.575,0.7545,0.8545,0
"129",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","power","jack",0.4695,0.48,0.486,0.5025
"130",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","size","naive",0.033,0.0905,0.152,0
"131",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","size","edgeKC",0.0205,0.0595,0.107,0
"132",25,3,"norm","naive edgeKC jack",2000,1046343644,"HC2","x1","size","jack",0.165,0.237,0.2765,0.5025
"133",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","power","naive",0.008,0.0535,0.117,0
"134",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","power","edgeKC",0.005,0.0445,0.105,0
"135",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","power","jack",0.3775,0.401,0.4125,0.5165
"136",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","size","naive",0.008,0.0535,0.117,0
"137",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","size","edgeKC",0.005,0.0445,0.105,0
"138",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x0","size","jack",0.3775,0.401,0.4125,0.5165
"139",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","power","naive",0.834,0.939,0.963,0
"140",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","power","edgeKC",0.7785,0.9115,0.956,0
"141",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","power","jack",0.4765,0.4785,0.4795,0.5185
"142",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","size","naive",0.0215,0.0805,0.1455,0
"143",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","size","edgeKC",0.0135,0.0585,0.113,0
"144",40,3,"norm","naive edgeKC jack",2000,1055787413,"HC2","x1","size","jack",0.2015,0.255,0.284,0.5185
"145",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","power","naive",0.0095,0.0455,0.0885,0
"146",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","power","edgeKC",0.007,0.036,0.0745,0
"147",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","power","jack",0.2055,0.265,0.297,0.492
"148",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","size","naive",0.0095,0.0455,0.0885,0
"149",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","size","edgeKC",0.007,0.036,0.0745,0
"150",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x0","size","jack",0.2055,0.265,0.297,0.492
"151",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","power","naive",1,1,1,0
"152",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","power","edgeKC",1,1,1,0
"153",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","power","jack",0.507,0.507,0.507,0.493
"154",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","size","naive",0.02,0.0845,0.1375,0
"155",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","size","edgeKC",0.0085,0.035,0.0755,0
"156",25,1,"lap","naive edgeKC jack",2000,412317390,"HC2","x1","size","jack",0.0245,0.0465,0.065,0.493
"157",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","power","naive",0.0085,0.047,0.096,0
"158",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","power","edgeKC",0.0075,0.0385,0.0865,0
"159",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","power","jack",0.2835,0.3285,0.3575,0.493
"160",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","size","naive",0.0085,0.047,0.096,0
"161",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","size","edgeKC",0.0075,0.0385,0.0865,0
"162",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x0","size","jack",0.2835,0.3285,0.3575,0.493
"163",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","power","naive",1,1,1,0
"164",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","power","edgeKC",1,1,1,0
"165",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","power","jack",0.51,0.51,0.51,0.49
"166",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","size","naive",0.026,0.078,0.1335,0
"167",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","size","edgeKC",0.012,0.044,0.0875,0
"168",40,1,"lap","naive edgeKC jack",2000,16117985,"HC2","x1","size","jack",0.0295,0.0555,0.0775,0.49
"169",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","power","naive",0.0095,0.046,0.101,0
"170",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","power","edgeKC",0.007,0.034,0.085,0
"171",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","power","jack",0.3245,0.3695,0.394,0.486
"172",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","size","naive",0.0095,0.046,0.101,0
"173",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","size","edgeKC",0.007,0.034,0.085,0
"174",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x0","size","jack",0.3245,0.3695,0.394,0.486
"175",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","power","naive",0.8515,0.903,0.929,0
"176",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","power","edgeKC",0.8045,0.8605,0.891,0
"177",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","power","jack",0.515,0.515,0.515,0.485
"178",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","size","naive",0.019,0.0735,0.131,0
"179",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","size","edgeKC",0.0085,0.0295,0.0665,0
"180",25,2,"lap","naive edgeKC jack",2000,467254193,"HC2","x1","size","jack",0.1025,0.183,0.2295,0.485
"181",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","power","naive",0.009,0.0495,0.0995,0
"182",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","power","edgeKC",0.007,0.041,0.0875,0
"183",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","power","jack",0.3615,0.3965,0.4155,0.4955
"184",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","size","naive",0.009,0.0495,0.0995,0
"185",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","size","edgeKC",0.007,0.041,0.0875,0
"186",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x0","size","jack",0.3615,0.3965,0.4155,0.4955
"187",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","power","naive",0.8945,0.941,0.954,0
"188",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","power","edgeKC",0.856,0.914,0.938,0
"189",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","power","jack",0.499,0.499,0.499,0.501
"190",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","size","naive",0.0155,0.0635,0.1375,0
"191",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","size","edgeKC",0.0065,0.0325,0.0775,0
"192",40,2,"lap","naive edgeKC jack",2000,305771013,"HC2","x1","size","jack",0.147,0.234,0.291,0.501
"193",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","power","naive",0.007,0.0445,0.098,0
"194",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","power","edgeKC",0.0045,0.03,0.081,0
"195",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","power","jack",0.3195,0.365,0.387,0.5135
"196",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","size","naive",0.007,0.0445,0.098,0
"197",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","size","edgeKC",0.0045,0.03,0.081,0
"198",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x0","size","jack",0.3195,0.365,0.387,0.5135
"199",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","power","naive",0.58,0.75,0.8195,0
"200",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","power","edgeKC",0.478,0.631,0.729,0
"201",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","power","jack",0.439,0.455,0.4615,0.5185
"202",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","size","naive",0.0545,0.129,0.202,0
"203",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","size","edgeKC",0.027,0.069,0.1215,0
"204",25,3,"lap","naive edgeKC jack",2000,719683280,"HC2","x1","size","jack",0.178,0.242,0.28,0.5185
"205",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","power","naive",0.0045,0.046,0.099,0
"206",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","power","edgeKC",0.0035,0.039,0.088,0
"207",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","power","jack",0.3855,0.413,0.4345,0.4815
"208",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","size","naive",0.0045,0.046,0.099,0
"209",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","size","edgeKC",0.0035,0.039,0.088,0
"210",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x0","size","jack",0.3855,0.413,0.4345,0.4815
"211",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","power","naive",0.7035,0.847,0.899,0
"212",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","power","edgeKC",0.5975,0.78,0.8555,0
"213",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","power","jack",0.497,0.5055,0.5085,0.4835
"214",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","size","naive",0.04,0.0945,0.161,0
"215",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","size","edgeKC",0.0215,0.061,0.104,0
"216",40,3,"lap","naive edgeKC jack",2000,578122249,"HC2","x1","size","jack",0.2315,0.2845,0.314,0.4835
