"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"38",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x1","power","saddle_V1",0.012,0.064,0.126,0
"39",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x1","power","saddle_V2",0.008,0.046,0.095,0
"40",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x1","size","naive",0.019,0.08,0.15,0
"41",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x1","size","saddle_V1",0.01,0.057,0.129,0
"42",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x1","size","saddle_V2",0.007,0.04,0.092,0
"43",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","power","naive",0.062,0.184,0.271,0
"44",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","power","saddle_V1",0.039,0.15,0.246,0
"45",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","power","saddle_V2",0.023,0.108,0.201,0
"46",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","size","naive",0.015,0.063,0.113,0
"47",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","size","saddle_V1",0.005,0.045,0.092,0
"48",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x2","size","saddle_V2",0.005,0.036,0.072,0
"49",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","power","naive",0.136,0.256,0.335,0
"50",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","power","saddle_V1",0.092,0.213,0.301,0.001
"51",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","power","saddle_V2",0.063,0.174,0.254,0.001
"52",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","size","naive",0.067,0.157,0.237,0
"53",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","size","saddle_V1",0.043,0.114,0.199,0
"54",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x3","size","saddle_V2",0.028,0.087,0.164,0
"55",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","power","naive",0.021,0.074,0.118,0
"56",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","power","saddle_V1",0.009,0.046,0.105,0
"57",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","power","saddle_V2",0.006,0.035,0.08,0
"58",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","size","naive",0.021,0.074,0.118,0
"59",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","size","saddle_V1",0.009,0.046,0.105,0
"60",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC1","x4","size","saddle_V2",0.006,0.035,0.08,0
"61",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","power","naive",0.013,0.069,0.14,0
"62",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","power","saddle_V1",0.009,0.051,0.113,0
"63",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","power","saddle_V2",0.005,0.03,0.084,0
"64",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","size","naive",0.01,0.062,0.121,0
"65",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","size","saddle_V1",0.005,0.039,0.101,0
"66",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x0","size","saddle_V2",0.004,0.028,0.072,0
"67",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","power","naive",0.016,0.074,0.136,0
"68",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","power","saddle_V1",0.007,0.048,0.106,0
"69",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","power","saddle_V2",0.004,0.033,0.082,0
"70",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","size","naive",0.015,0.066,0.131,0
"71",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","size","saddle_V1",0.009,0.045,0.108,0
"72",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x1","size","saddle_V2",0.005,0.03,0.08,0
"73",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","power","naive",0.054,0.172,0.253,0
"74",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","power","saddle_V1",0.028,0.114,0.217,0
"75",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","power","saddle_V2",0.018,0.082,0.179,0
"76",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","size","naive",0.011,0.053,0.101,0
"77",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","size","saddle_V1",0.003,0.039,0.077,0
