"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"3757",3757,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","power","naive",0.023,0.074,0.138,0
"3758",3758,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","power","saddle_V1",0.015,0.066,0.128,0
"3759",3759,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","power","saddle_V2",0.009,0.048,0.098,0
"3760",3760,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","size","naive",0.02,0.053,0.1,0
"3761",3761,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","size","saddle_V1",0.016,0.05,0.092,0
"3762",3762,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x1","size","saddle_V2",0.009,0.036,0.073,0
"3763",3763,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","power","naive",0.224,0.428,0.552,0
"3764",3764,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","power","saddle_V1",0.199,0.414,0.545,0
"3765",3765,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","power","saddle_V2",0.143,0.36,0.503,0.001
"3766",3766,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","size","naive",0.011,0.057,0.113,0
"3767",3767,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","size","saddle_V1",0.006,0.049,0.104,0
"3768",3768,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x2","size","saddle_V2",0.005,0.036,0.084,0
"3769",3769,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","power","naive",0.199,0.337,0.43,0
"3770",3770,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","power","saddle_V1",0.116,0.277,0.385,0
"3771",3771,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","power","saddle_V2",0.074,0.215,0.302,0
"3772",3772,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","size","naive",0.027,0.085,0.141,0
"3773",3773,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","size","saddle_V1",0.011,0.062,0.118,0
"3774",3774,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x3","size","saddle_V2",0.003,0.039,0.081,0
"3775",3775,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","power","naive",0.012,0.053,0.111,0
"3776",3776,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","power","saddle_V1",0.01,0.049,0.106,0
"3777",3777,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","power","saddle_V2",0.005,0.037,0.082,0
"3778",3778,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","size","naive",0.012,0.053,0.111,0
"3779",3779,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","size","saddle_V1",0.01,0.049,0.106,0
"3780",3780,100,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,578122249,"HC5","x4","size","saddle_V2",0.005,0.037,0.082,0
"3781",3781,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","power","naive",0.023,0.115,0.176,0
"3782",3782,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","power","saddle_V1",0.021,0.11,0.175,0
"3783",3783,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","power","saddle_V2",0.02,0.095,0.16,0
"3784",3784,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","size","naive",0.018,0.058,0.099,0
"3785",3785,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","size","saddle_V1",0.016,0.057,0.095,0
"3786",3786,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x0","size","saddle_V2",0.008,0.051,0.083,0
"3787",3787,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","power","naive",0.035,0.138,0.208,0
"3788",3788,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","power","saddle_V1",0.03,0.136,0.205,0
"3789",3789,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","power","saddle_V2",0.028,0.109,0.188,0
"3790",3790,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","size","naive",0.019,0.049,0.117,0
"3791",3791,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","size","saddle_V1",0.018,0.049,0.111,0
"3792",3792,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x1","size","saddle_V2",0.013,0.044,0.092,0
"3793",3793,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","power","naive",0.611,0.813,0.884,0
"3794",3794,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","power","saddle_V1",0.598,0.808,0.881,0
"3795",3795,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","power","saddle_V2",0.56,0.789,0.873,0
"3796",3796,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","size","naive",0.01,0.056,0.108,0
"3797",3797,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","size","saddle_V1",0.011,0.054,0.107,0
"3798",3798,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x2","size","saddle_V2",0.009,0.04,0.096,0
"3799",3799,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","power","naive",0.455,0.661,0.748,0
"3800",3800,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","power","saddle_V1",0.426,0.643,0.736,0
"3801",3801,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","power","saddle_V2",0.309,0.554,0.677,0
"3802",3802,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","size","naive",0.023,0.087,0.14,0
"3803",3803,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","size","saddle_V1",0.02,0.08,0.128,0
"3804",3804,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x3","size","saddle_V2",0.008,0.053,0.1,0
"3805",3805,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","power","naive",0.011,0.052,0.1,0
"3806",3806,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","power","saddle_V1",0.011,0.053,0.099,0
"3807",3807,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","power","saddle_V2",0.008,0.046,0.09,0
"3808",3808,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","size","naive",0.011,0.052,0.1,0
"3809",3809,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","size","saddle_V1",0.011,0.053,0.099,0
"3810",3810,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC0","x4","size","saddle_V2",0.008,0.046,0.09,0
"3811",3811,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","power","naive",0.021,0.11,0.174,0
"3812",3812,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","power","saddle_V1",0.022,0.108,0.171,0
"3813",3813,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","power","saddle_V2",0.021,0.081,0.155,0
"3814",3814,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","size","naive",0.017,0.057,0.095,0
"3815",3815,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","size","saddle_V1",0.014,0.057,0.092,0
"3816",3816,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x0","size","saddle_V2",0.008,0.051,0.082,0
"3817",3817,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","power","naive",0.031,0.136,0.204,0
"3818",3818,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","power","saddle_V1",0.03,0.132,0.199,0
"3819",3819,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","power","saddle_V2",0.027,0.107,0.188,0
"3820",3820,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","size","naive",0.018,0.048,0.108,0
"3821",3821,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","size","saddle_V1",0.016,0.046,0.104,0
"3822",3822,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x1","size","saddle_V2",0.011,0.043,0.089,0
"3823",3823,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","power","naive",0.604,0.808,0.881,0
"3824",3824,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","power","saddle_V1",0.589,0.806,0.879,0
"3825",3825,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","power","saddle_V2",0.541,0.784,0.867,0
"3826",3826,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","size","naive",0.01,0.053,0.104,0
"3827",3827,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","size","saddle_V1",0.01,0.047,0.102,0
"3828",3828,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x2","size","saddle_V2",0.009,0.039,0.093,0
"3829",3829,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","power","naive",0.444,0.655,0.743,0
"3830",3830,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","power","saddle_V1",0.416,0.636,0.729,0
"3831",3831,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","power","saddle_V2",0.3,0.548,0.671,0
"3832",3832,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","size","naive",0.023,0.084,0.134,0
"3833",3833,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","size","saddle_V1",0.016,0.075,0.121,0
"3834",3834,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x3","size","saddle_V2",0.008,0.052,0.099,0
"3835",3835,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","power","naive",0.011,0.051,0.097,0
"3836",3836,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","power","saddle_V1",0.009,0.05,0.097,0
"3837",3837,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","power","saddle_V2",0.008,0.043,0.086,0
"3838",3838,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","size","naive",0.011,0.051,0.097,0
"3839",3839,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","size","saddle_V1",0.009,0.05,0.097,0
"3840",3840,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC1","x4","size","saddle_V2",0.008,0.043,0.086,0
"3841",3841,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","power","naive",0.021,0.106,0.169,0
"3842",3842,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","power","saddle_V1",0.022,0.103,0.166,0
"3843",3843,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","power","saddle_V2",0.02,0.075,0.152,0
"3844",3844,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","size","naive",0.015,0.057,0.092,0
"3845",3845,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","size","saddle_V1",0.014,0.055,0.09,0
"3846",3846,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x0","size","saddle_V2",0.008,0.049,0.079,0
"3847",3847,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","power","naive",0.028,0.13,0.195,0
"3848",3848,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","power","saddle_V1",0.028,0.123,0.194,0
"3849",3849,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","power","saddle_V2",0.023,0.1,0.181,0
"3850",3850,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","size","naive",0.017,0.045,0.102,0
"3851",3851,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","size","saddle_V1",0.016,0.045,0.101,0
"3852",3852,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x1","size","saddle_V2",0.011,0.039,0.075,0
"3853",3853,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","power","naive",0.599,0.806,0.878,0
"3854",3854,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","power","saddle_V1",0.585,0.8,0.876,0
"3855",3855,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","power","saddle_V2",0.534,0.776,0.858,0
"3856",3856,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","size","naive",0.009,0.049,0.101,0
"3857",3857,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","size","saddle_V1",0.01,0.046,0.099,0
"3858",3858,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x2","size","saddle_V2",0.007,0.038,0.091,0
"3859",3859,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","power","naive",0.431,0.635,0.726,0
"3860",3860,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","power","saddle_V1",0.376,0.611,0.716,0
"3861",3861,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","power","saddle_V2",0.263,0.509,0.643,0
"3862",3862,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","size","naive",0.019,0.076,0.119,0
"3863",3863,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","size","saddle_V1",0.012,0.071,0.113,0
"3864",3864,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x3","size","saddle_V2",0.008,0.039,0.087,0
"3865",3865,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","power","naive",0.009,0.05,0.097,0
"3866",3866,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","power","saddle_V1",0.008,0.05,0.095,0
"3867",3867,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","power","saddle_V2",0.007,0.04,0.083,0
"3868",3868,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","size","naive",0.009,0.05,0.097,0
"3869",3869,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","size","saddle_V1",0.008,0.05,0.095,0
"3870",3870,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC2","x4","size","saddle_V2",0.007,0.04,0.083,0
"3871",3871,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","power","naive",0.021,0.097,0.163,0
"3872",3872,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","power","saddle_V1",0.021,0.087,0.162,0
"3873",3873,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","power","saddle_V2",0.018,0.066,0.148,0
"3874",3874,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","size","naive",0.013,0.052,0.082,0
"3875",3875,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","size","saddle_V1",0.011,0.052,0.081,0
"3876",3876,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x0","size","saddle_V2",0.008,0.046,0.074,0
"3877",3877,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","power","naive",0.026,0.115,0.189,0
"3878",3878,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","power","saddle_V1",0.025,0.111,0.184,0
