"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"3879",3879,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","power","saddle_V2",0.019,0.081,0.161,0
"3880",3880,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","size","naive",0.015,0.042,0.087,0
"3881",3881,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","size","saddle_V1",0.014,0.041,0.086,0
"3882",3882,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x1","size","saddle_V2",0.011,0.035,0.067,0
"3883",3883,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","power","naive",0.583,0.796,0.87,0
"3884",3884,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","power","saddle_V1",0.567,0.793,0.866,0
"3885",3885,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","power","saddle_V2",0.507,0.765,0.851,0
"3886",3886,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","size","naive",0.009,0.041,0.097,0
"3887",3887,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","size","saddle_V1",0.009,0.039,0.094,0
"3888",3888,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x2","size","saddle_V2",0.004,0.03,0.087,0
"3889",3889,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","power","naive",0.386,0.601,0.703,0
"3890",3890,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","power","saddle_V1",0.331,0.581,0.686,0
"3891",3891,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","power","saddle_V2",0.229,0.464,0.608,0
"3892",3892,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","size","naive",0.013,0.068,0.106,0
"3893",3893,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","size","saddle_V1",0.008,0.056,0.102,0
