"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"38",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x1","power","saddle_V1",0.026,0.094,0.184,0
"39",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x1","power","saddle_V2",0.019,0.08,0.157,0
"40",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x1","size","naive",0.022,0.076,0.131,0
"41",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x1","size","saddle_V1",0.01,0.058,0.111,0
"42",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x1","size","saddle_V2",0.006,0.049,0.093,0
"43",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","power","naive",0.528,0.742,0.835,0
"44",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","power","saddle_V1",0.438,0.686,0.811,0
"45",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","power","saddle_V2",0.354,0.634,0.768,0
"46",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","size","naive",0.019,0.072,0.119,0
"47",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","size","saddle_V1",0.009,0.053,0.097,0
"48",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x2","size","saddle_V2",0.007,0.041,0.087,0
"49",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","power","naive",0.679,0.822,0.882,0
"50",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","power","saddle_V1",0.578,0.787,0.854,0
"51",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","power","saddle_V2",0.511,0.748,0.832,0
"52",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","size","naive",0.036,0.104,0.162,0
"53",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","size","saddle_V1",0.017,0.076,0.135,0
"54",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x3","size","saddle_V2",0.015,0.066,0.117,0
