"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"39",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","xD","power","Satt",0.066,0.2155,0.3415,0
"40",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","xD","size","Satt",0.004,0.0335,0.0675,0
"41",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x0","power","Satt",0.0155,0.058,0.1115,0
"42",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x0","size","Satt",0.006,0.034,0.0605,0
"43",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x1","power","Satt",0.0105,0.0525,0.1045,0
"44",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x1","size","Satt",0.002,0.0235,0.054,0
"45",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x3","power","Satt",0.1505,0.313,0.4135,0
"46",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x3","size","Satt",0.0035,0.018,0.039,0
"47",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x4","power","Satt",0.007,0.031,0.076,0
"48",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","x4","size","Satt",0.007,0.031,0.076,0
"49",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","xD","power","Satt",0.079,0.2265,0.325,0
"50",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4","xD","size","Satt",0.0075,0.0375,0.07,0
"51",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x0","power","Satt",0.0095,0.0425,0.0865,0
"52",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x0","size","Satt",0.0015,0.02,0.044,0
"53",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x1","power","Satt",0.0045,0.032,0.0835,0
"54",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x1","size","Satt",0.001,0.013,0.034,0
"55",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x3","power","Satt",0.099,0.273,0.4095,0
"56",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x3","size","Satt",5e-04,0.0085,0.0235,0
"57",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x4","power","Satt",0.003,0.0235,0.047,0
"58",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","x4","size","Satt",0.003,0.0235,0.047,0
"59",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","xD","power","Satt",0.046,0.1785,0.284,0
"60",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC4m","xD","size","Satt",0.002,0.0215,0.0515,0
"61",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x0","power","Satt",0.0385,0.117,0.181,0
"62",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x0","size","Satt",0.0135,0.0625,0.122,0
"63",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x1","power","Satt",0.0365,0.1265,0.198,0
"64",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x1","size","Satt",0.0145,0.057,0.1215,0
"65",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x3","power","Satt",0.3855,0.6025,0.6955,0
"66",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x3","size","Satt",0.012,0.046,0.0955,0
"67",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x4","power","Satt",0.0195,0.0685,0.1315,0
"68",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","x4","size","Satt",0.0195,0.0685,0.1315,0
"69",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","xD","power","Satt",0.159,0.357,0.4875,0
"70",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC5","xD","size","Satt",0.0225,0.075,0.1305,0
"71",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x0","power","Satt",0.071,0.1845,0.2685,0
"72",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x0","size","Satt",0.0165,0.0665,0.1365,0
"73",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x1","power","Satt",0.1225,0.274,0.392,0
"74",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x1","size","Satt",0.0185,0.0725,0.1305,0
"75",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x3","power","Satt",0.9435,0.9835,0.9925,0
"76",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x3","size","Satt",0.0235,0.0865,0.144,0
"77",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x4","power","Satt",0.0165,0.0725,0.13,0
"78",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","x4","size","Satt",0.0165,0.0725,0.13,0
"79",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","xD","power","Satt",0.42,0.659,0.76,0
"80",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC0","xD","size","Satt",0.0165,0.0625,0.125,0
"81",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x0","power","Satt",0.0585,0.1635,0.244,0
"82",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x0","size","Satt",0.0135,0.0555,0.1145,0
"83",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x1","power","Satt",0.102,0.245,0.355,0
"84",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x1","size","Satt",0.013,0.0605,0.1135,0
"85",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x3","power","Satt",0.933,0.9815,0.991,0
"86",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x3","size","Satt",0.0195,0.0785,0.1295,0
"87",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x4","power","Satt",0.013,0.063,0.1145,0
