MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Birmingham-Hoover, AL MSA",13820,2725,.381666667,.435151212007505,1.14418765091411,33203,56630,.155941573729694,.153841147353215,.0793705715297612,.134668352251941,.48,-.0857022746207218,-1.77034559643255,548.9,9.3,213.664968817759,3
"Blacksburg-Christiansburg-Radford, VA MSA",13980,2950,-.045,.432928069036329,.979659886628874,22473,45352,.135979357887639,.148241032981399,.0569676727033823,.103601783589043,.013,.0238101667319599,-1.65,170.2,6.6,151.93875248144,1
"Bloomington, IN MSA",14020,3834,-.025,.401156078882214,.803911205073996,27056,42356,.0679305188931756,.13064791416131,.092050775601622,.106744581242009,.027,.0215140308399795,-1.77777777777778,243.42,7.7,145.742375370106,1
"Boulder, CO MSA",14500,3063,-.01,.346631507829355,.605135951661632,44444,72074,.11169927018776,.0592545555078855,.133318483772487,.203397484751885,.001,-.0224632798886817,-1.53535353535354,215.1,6.9,405.578081286932,1
"Bowling Green, KY MSA",14540,545, ,.439677906161607,1.08608058608059,30398,43885,.152648399009053,.172350173283206,.0460649930564419,.0901074103496329,.082,-.031274286131831,-2.3763440860215,152.24,9.6,149.147961203305, 
"Bremerton-Silverdale, WA MSA",14740,1038, ,.385586244431555,.722846441947566,41472,64353,.15072518473665,.136912047523781,.0990271745129683,.135979528574947,.027,.0319676700139965,-1.39622641509434,311.8,9,635.874289638416, 
"Bridgeport-Stamford-Norwalk, CT MSA",14860,4052, ,.419360551986859,.937445319335082,43333,98879,.171898574142538,.117878487141267,.0789884370336804,.187404610593631,.197,-.0108842782430678,-1.63188976377953,273.12,9.6,1467.18567998874, 
"Brownsville-Harlingen, TX MSA",15180,226, ,.392805982293815,.358744394618834,39889,46551, ,.0214570913357737, ,.0176960790268882,.003,.0908277569666154,-3,276.84,10.5,455.954448445728, 
"Brunswick, GA MSA",15260,247, ,.409761138959809,1.03614457831325,27108,49592,.181119195588691,.177778268185488,.0379552728972097,.114861312508039,.256,-.0384152182295018,-1.37096774193548,391.06,11.4,87.3513257517313, 
"Burlington, NC MSA",15500,978,-.182,.430204374920077,1.08102564102564,29912,48790,.192708094519672,.162218986583302,.0613747383436818,.108739996869005,.119,-.0784025280293836,-1.66497461928934,403.36,9.5,356.488773548974,1
"Burlington-South Burlington, VT MSA",15540,3329, ,.383701593824392,.556122448979593,44087,63261,.0745772077743024,.148586849224876,.123011113930307,.173982479965778,.024,.0504159167006909,-1.68852459016393, ,5.8,168.725920394123, 
"Canton-Massillon, OH MSA",15940,1659, ,.424818097917634,1.07418224299065,24605,47618,.203254424674607,.257100326160217,.0440965313722624,.0998451904825342,.194,-.0929701665737116,-1.65957446808511,279.36,9.5,416.981740112225, 
"Cape Coral-Fort Myers, FL MSA",15980,1118, ,.441418665727728,.962699822380107,33104,50978,.162861577940228,.194236754936401,.05010120723757,.119329438974239,.23,.0324180773317084,-1.37404580152672,371.98,11.9,788.710960919903, 
"Carson City, NV MSA",16180,178,-.014,.418447876389916,.782608695652174,84921,53409, ,.14840090931003, ,.0897307823735067,.034,.0532398761299411,0,266.24,14.5,382.090522784823,1
"Cedar Rapids, IA MSA",16300,1325, ,.396080411737883,.928965517241379,28502,58253,.0739634426387677,.175107227563572,.0705545130199418,.13785188318845,.043,.0700710876901865,-1.74025974025974,193.64,5.1,128.407210206186, 
"Champaign-Urbana, IL MSA",16580,3069,.393,.41258474214941,1.03668208856576,26082,52956,.16211542258719,.135157834376811,.0562213091139813,.129853089478461,.191,-.00677143540819602,-1.76394849785408,507.3,7.1,120.708441290173,2
"Charleston, WV MSA",16620,672,.217,.422603987608765,.863436123348017,28764,46133,.21797647412974,.238825283508336,.070419033565958,.100197689324005,.175,.0141038268368632,-1.88888888888889,460.75,7.3,120.377860858553,4
"Charleston-North Charleston, SC MSA",16700,2485,.728,.467676524058528,1.17889160554197,31422,62123,.201729233686486,.123567898297556,.0514409282209088,.166263438821564,.198,-.0649160841677344,-1.853125,391.5,9.6,256.785633872294,1
"Charlottesville, VA MSA",16820,2959, ,.406411218435471,.819380355965721,37529,62917,.214549194514971,.1309278487103,.0534620653988893,.162585183199906,.084,-.000861241577038231,-1.68797953964194,178.5,5.5,122.599542670406, 
"Chattanooga, TN-GA MSA",16860,1386,-.139,.414290948173779,1.03755215577191,27331,49036,.185107427614859,.163989059824775,.0450590448799328,.110758928208761,.405,-.0694822027320136,-1.5625,516.55,9.1,252.824812646652,1
"Cheyenne, WY MSA",16940,291,-.027,.327008382133438,.726351351351352,35243,60614, ,.123461973784218, ,.112856845144008,.012,-.0030487738002128,-1.27272727272727,210.4,5.1,34.1552531897307,1
"Chico, CA MSA",17020,1009, ,.396088990138002,.786885245901639,27330,45786,.114024053645602,.122254917612244,.062441743663068,.110600549225458,.017,-.0605172489772115,-1.48148148148148,299.48,13.1,134.436163640154, 
"Clarksville, TN-KY MSA",17300,762, ,.390795917519263,.845373891001268,34724,49532,.150797442314038,.151375416751744,.0567886554477124,.0951852506886509,.128,-.0524275027977181,-1.72687224669604,422.82,10.7,126.978521802251, 
"Cleveland, TN MSA",17420,187,.626666667,.385975769312054,.81159420289855,28906,41177,.133248892780333,.185596148643123,.0845822317808173,.0748027318404689,.039,-.0521970391525831,-1.1,531.6,11.3,151.666524532623,3
"College Station-Bryan, TX MSA",17780,2088, ,.422187692712671,1.24723955832933,25094,47898,.159864978150858,.073245600994892,.0435961636118716,.104976693307551,.097,-.0395951969866551,-1.64935064935065,355.52,7.9,108.877684324116, 
"Colorado Springs, CO MSA",17820,2488, ,.394834752670656,.717660292463441,45765,61765,.0993848600242708,.103498423263518,.0855993012705802,.141582766093842,.041,-.0298963360696863,-1.40119760479042,393.56,9.3,240.554191861543, 
"Columbia, MO MSA",17860,3517, ,.413377224737048,1.14504478474429,27658,51475,.120422539292773,.0961690711946921,.0756307926514918,.171401573265182,.072,-.00431747045274876,-1.8646408839779,375.82,5.6,150.345129034561, 
"Columbia, SC MSA",17900,3297, ,.439063248351216,1.27997565429093,35311,58025,.169448529258458,.145620135822425,.082270124437341,.143305997797252,.28,-.0645021445242935,-1.64649490713002,626.8,9.9,207.304851523839, 
"Columbus, GA-AL MSA",17980,608,-.399,.442287051643733,1.21963394342762,30921,52389,.159008134760701,.141063168002237,.0535249991053458,.109117312429673,.337,-.0423231684733257,-1.48988764044944,435.38,11.3,152.295783098039,1
"Columbus, IN MSA",18020,249, ,.355065285151885,.96875,69875,52135, ,.207273724971276, ,.11492577395235,.019,-.245947359635272,-.888888888888889,154.46,5.6,188.725794626196, 
"Columbus, OH MSA",18140,10835,.356,.414891479912799,.960510005312554,33478,58927,.152225471945002,.177529004411629,.0783665137966464,.15112245366839,.336,-.0213587336398977,-1.73340091231627,342.166666666667,7.6,462.929866390404,4
"Corpus Christi, TX MSA",18580,747, ,.418998709590716,.930013458950201,30446,57403,.157620681467168,.0646024047580088,.0464755130670763,.0591202666611501,.037,.00359309572130782,-1.52631578947368,563.36,7.2,240.013101769165, 
"Cumberland, MD-WV MSA",19060,540,-.067,.387053353141299,1.15209125475285,12470,37578,.131412667126294,.267077311348686,.0369186088247781,.066437791085192,.186,.00849918762104047,-1.33333333333333,320.28,10.4,137.367967894661,1
"Dallas-Fort Worth-Arlington, TX MSA",19100,17954,.465384615,.41782077765628,1.04312092488083,40669,72011,.148292227100405,.0891549036747355,.100196831742344,.136497374357505,.234,-.0554656613286764,-1.7305207145572,352.15,7.6,713.724051499022,13
"Dalton, GA MSA",19140,328, ,.394227536721017,.834862385321101,31682,40959,.130181809667638,.136100679968186,.0735199428698533,.038910464793706,.017,-.161160381903344,-.857142857142857,239.24,11.8,224.004261372523, 
"Danville, IL MSA",19180,230, ,.423042639592741,.983122362869198,19388,44382,.164751857290907,.22148168642199,.0317682953520583,.0718516195109328,.287,-.118517877644543,-1.68421052631579,585.8,11.9,90.8591544567028, 
"Danville, VA MSA",19260,152, ,.445211128036444,.919463087248322,26376,42675,.202534411071131,.182648480525999,.0488754915605681,.087438892694664,.174,-.0572663877058988,-1.52380952380952,202.75,10.8,105.310431972323, 
"Davenport-Moline-Rock Island, IA-IL MSA",19340,1308,.927,.393980470656008,.986101459346769,29636,53829,.133817799615582,.184242907398595,.0442716274959473,.12030565535178,.131,.0128487204702335,-1.65546218487395,393.24,6.8,167.270752381694,1
"Dayton, OH MSA",19380,4079,.345,.41655505671512,.955056179775281,29055,51481,.150192988468021,.183822837337002,.0661167358148243,.109991062826589,.48,-.0473753141096013,-1.84644194756554,287.74,9.8,493.26527438273,2
"Decatur, IL MSA",19500,359,.841,.447683741648497,1.03856749311295,25561,50952,.14644657119952,.207299071553317,.0252849158086671,.115880895743185,.25,-.109297863184014,-1.80769230769231,432.08,11.9,190.752819084277,1
"Deltona-Daytona Beach-Ormond Beach, FL MSA",19660,1558,-.105,.423973276750697,1.09027336300064,28866,45040,.168894797862829,.209800980072631,.0692647666481359,.099385335517239,.257,-.0502617544481027,-1.64568764568765,460.44,10.5,449.208714695096,1
