"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x0","power","Satt",0.057,0.162,0.246,0
"2",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x0","size","Satt",0.035,0.098,0.161,0
"3",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x1","power","Satt",0.063,0.179,0.259,0
"4",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x1","size","Satt",0.039,0.104,0.173,0
"5",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x2","power","Satt",0.611,0.809,0.869,0
"6",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x2","size","Satt",0.033,0.093,0.15,0
"7",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x3","power","Satt",0.729,0.856,0.912,0
"8",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x3","size","Satt",0.044,0.128,0.195,0
"9",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x4","power","Satt",0.033,0.098,0.165,0
"10",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC0","x4","size","Satt",0.033,0.098,0.165,0
"11",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x0","power","Satt",0.038,0.12,0.203,0
"12",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x0","size","Satt",0.019,0.067,0.121,0
"13",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x1","power","Satt",0.045,0.128,0.214,0
"14",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x1","size","Satt",0.021,0.075,0.129,0
"15",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x2","power","Satt",0.53,0.742,0.833,0
"16",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x2","size","Satt",0.017,0.073,0.118,0
"17",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x3","power","Satt",0.665,0.818,0.882,0
"18",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x3","size","Satt",0.027,0.1,0.155,0
"19",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x4","power","Satt",0.021,0.071,0.12,0
"20",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC1","x4","size","Satt",0.021,0.071,0.12,0
"21",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x0","power","Satt",0.032,0.101,0.182,0
"22",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x0","size","Satt",0.013,0.06,0.106,0
"23",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x1","power","Satt",0.033,0.103,0.192,0
"24",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x1","size","Satt",0.015,0.063,0.111,0
"25",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x2","power","Satt",0.485,0.713,0.816,0
"26",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x2","size","Satt",0.013,0.067,0.105,0
"27",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x3","power","Satt",0.492,0.746,0.827,0
"28",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x3","size","Satt",0.012,0.061,0.106,0
"29",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x4","power","Satt",0.017,0.061,0.11,0
"30",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC2","x4","size","Satt",0.017,0.061,0.11,0
"31",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x0","power","Satt",0.009,0.048,0.095,0
"32",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x0","size","Satt",0.002,0.03,0.058,0
"33",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x1","power","Satt",0.01,0.047,0.093,0
"34",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x1","size","Satt",0,0.029,0.053,0
"35",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x2","power","Satt",0.264,0.548,0.696,0
"36",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x2","size","Satt",0.003,0.023,0.057,0
"37",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x3","power","Satt",0.164,0.384,0.543,0
"38",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x3","size","Satt",0.002,0.012,0.033,0
"39",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x4","power","Satt",0.005,0.03,0.065,0
"40",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC3","x4","size","Satt",0.005,0.03,0.065,0
"41",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x0","power","Satt",0.014,0.05,0.088,0
"42",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x0","size","Satt",0.003,0.034,0.06,0
"43",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x1","power","Satt",0.011,0.043,0.081,0
"44",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x1","size","Satt",0.001,0.025,0.051,0
"45",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x2","power","Satt",0.281,0.514,0.645,0
"46",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x2","size","Satt",0.003,0.035,0.066,0
"47",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x3","power","Satt",0.134,0.288,0.378,0
"48",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x3","size","Satt",0.003,0.014,0.033,0
"49",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x4","power","Satt",0.007,0.029,0.068,0
"50",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4","x4","size","Satt",0.007,0.029,0.068,0
"51",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x0","power","Satt",0.007,0.035,0.069,0
"52",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x0","size","Satt",0.002,0.019,0.048,0
"53",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x1","power","Satt",0.005,0.028,0.067,0
"54",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x1","size","Satt",0,0.017,0.037,0
"55",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x2","power","Satt",0.185,0.458,0.613,0
"56",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x2","size","Satt",0,0.015,0.046,0
"57",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x3","power","Satt",0.092,0.242,0.385,0
"58",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x3","size","Satt",0.002,0.004,0.018,0
"59",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x4","power","Satt",0.002,0.019,0.05,0
"60",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC4m","x4","size","Satt",0.002,0.019,0.05,0
"61",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC5","x0","power","Satt",0.035,0.105,0.189,0
"62",25,"1 1 1 1 0 0","T T T T T F","E0","En","Satt",1000,989420947,"HC5","x0","size","Satt",0.016,0.059,0.112,0
