"","g","n","B","whichX","alpha_string","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"40",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","KCCI_E",0,0.011,0.024,0.07,0.134
"41",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","KCCI_H",0,0.008,0.016,0.062,0.11
"42",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","KCp_E",0,0.033,0.042,0.086,0.14
"43",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","KCp_H",0,0.028,0.036,0.077,0.12
"44",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","naive",0,0.034,0.047,0.108,0.159
"45",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","RCI_E",0,0.059,0.065,0.109,0.149
"46",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","RCI_H",0,0.003,0.012,0.037,0.075
"47",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","Rp_E",0,0.045,0.056,0.103,0.143
"48",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","Rp_H",0,0,0,0,0
"49",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","saddle_E",0,0.012,0.022,0.06,0.116
"50",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","saddle_H",0,0.016,0.025,0.076,0.126
"51",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","Satt_E",0,0.015,0.028,0.075,0.14
"52",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC1","x4","size","Satt_H",0,0.008,0.014,0.06,0.119
"53",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","KCCI_E",0,0,0.005,0.031,0.073
"54",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","KCCI_H",0,0,0.003,0.034,0.072
"55",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","KCp_E",0,0.018,0.024,0.043,0.086
"56",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","KCp_H",0,0.019,0.024,0.045,0.078
"57",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","naive",0,0.023,0.033,0.078,0.127
"58",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","RCI_E",0,0.032,0.04,0.062,0.093
"59",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","RCI_H",0,0,0.001,0.013,0.031
"60",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","Rp_E",0,0.019,0.028,0.046,0.074
"61",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","Rp_H",0,0,0,0,0
"62",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","saddle_E",0,0.002,0.007,0.041,0.078
"63",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","saddle_H",0,0.003,0.005,0.039,0.079
"64",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","Satt_E",0,0.003,0.008,0.031,0.07
"65",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","power","Satt_H",0,0,0.002,0.021,0.064
"66",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","KCCI_E",0,0,0.005,0.031,0.073
"67",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","KCCI_H",0,0,0.003,0.034,0.072
"68",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","KCp_E",0,0.018,0.024,0.043,0.086
"69",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","KCp_H",0,0.019,0.024,0.045,0.078
"70",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","naive",0,0.023,0.033,0.078,0.127
"71",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","RCI_E",0,0.032,0.04,0.062,0.093
"72",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","RCI_H",0,0,0.001,0.013,0.031
"73",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","Rp_E",0,0.019,0.028,0.046,0.074
"74",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","Rp_H",0,0,0,0,0
"75",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","saddle_E",0,0.002,0.007,0.041,0.078
"76",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","saddle_H",0,0.003,0.005,0.039,0.079
"77",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","Satt_E",0,0.003,0.008,0.031,0.07
"78",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC2","x4","size","Satt_H",0,0,0.002,0.021,0.064
"79",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","KCCI_E",0,0,0,0.005,0.016
"80",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","KCCI_H",0,0,0,0.01,0.025
"81",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","KCp_E",0,0.001,0.004,0.01,0.022
