"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"35",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","Rp_H",0,0,0,0.1,0.1
"36",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","saddle_E",0,0,0,0.1,0.1
"37",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","saddle_H",0,0,0,0.1,0.1
"38",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","Satt_E",0,0,0,0.1,0.1
"39",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","Satt_H",0,0,0,0.1,0.1
"40",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","KCCI_E",0,0,0,0.1,0.1
"41",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","KCCI_H",0,0,0,0.1,0.1
"42",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","KCp_E",0,0,0,0.1,0.1
"43",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","KCp_H",0,0,0,0.1,0.1
"44",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","naive",0,0,0,0.1,0.1
"45",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","RCI_E",0,0,0,0.1,0.1
"46",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","RCI_H",0,0,0,0.1,0.1
"47",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","Rp_E",0,0,0,0.1,0.1
"48",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","Rp_H",0,0,0,0.1,0.1
"49",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","saddle_E",0,0,0,0.1,0.1
"50",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","saddle_H",0,0,0,0.1,0.1
"51",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","Satt_E",0,0,0,0.1,0.1
"52",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC3","x4","size","Satt_H",0,0,0,0.1,0.1
"53",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","KCCI_E",0,0,0,0,0.1
"54",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","KCCI_H",0,0,0,0.1,0.1
"55",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","KCp_E",0,0,0,0,0.1
"56",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","KCp_H",0,0,0,0.1,0.1
"57",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","naive",0,0,0,0.1,0.1
"58",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","RCI_E",0,0,0,0,0.1
"59",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","RCI_H",0,0,0,0,0.1
"60",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","Rp_E",0,0,0,0,0.1
"61",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","Rp_H",0,0,0,0,0.1
"62",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","saddle_E",0,0,0,0.1,0.1
"63",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","saddle_H",0,0,0,0.1,0.1
"64",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","Satt_E",0,0,0,0,0.1
"65",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4","x4","size","Satt_H",0,0,0,0.1,0.1
"66",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","KCCI_E",0,0,0,0.1,0.1
"67",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","KCCI_H",0,0,0,0.1,0.1
"68",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","KCp_E",0,0,0,0.1,0.1
"69",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","KCp_H",0,0,0,0.1,0.1
"70",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","naive",0,0,0,0.1,0.1
"71",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","RCI_E",0,0,0,0.1,0.1
"72",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","RCI_H",0,0,0,0.1,0.1
"73",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","Rp_E",0,0,0,0.1,0.1
"74",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","Rp_H",0,0,0,0.1,0.1
"75",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","saddle_E",0,0,0,0.1,0.1
"76",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","saddle_H",0,0,0,0.1,0.1
"77",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","Satt_E",0,0,0,0.1,0.1
"78",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC4m","x4","size","Satt_H",0,0,0,0.1,0.1
"79",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","KCCI_E",0,0,0,0,0
"80",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","KCCI_H",0,0,0,0,0
