"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"1",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","power","naive",0.055,0.163,0.241
"2",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","power","Satt",0.051,0.155,0.238
"3",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","power","saddle_V1",0.039,0.126,0.212
"4",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","power","saddle_V2",0.026,0.092,0.177
"5",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","size","naive",0.032,0.091,0.148
"6",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","size","Satt",0.029,0.089,0.144
"7",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","size","saddle_V1",0.02,0.074,0.131
"8",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x0","size","saddle_V2",0.013,0.065,0.11
"9",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","power","naive",0.07,0.181,0.269
"10",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","power","Satt",0.069,0.179,0.266
"11",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","power","saddle_V1",0.043,0.143,0.236
"12",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","power","saddle_V2",0.029,0.12,0.205
"13",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","size","naive",0.029,0.081,0.159
"14",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","size","Satt",0.027,0.08,0.155
"15",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1000,14397921,"HC0","x1","size","saddle_V1",0.017,0.07,0.131
