"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"9639",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC0","x4","size","saddle_V1",0,0,0
"9640",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC0","x4","size","saddle_V2",0,0,0
"9641",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","power","naive",0,0,0
"9642",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","power","Satt",0,0,0
"9643",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","power","saddle_V1",0,0,0
"9644",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","power","saddle_V2",0,0,0
"9645",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","size","naive",0,0,0
"9646",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","size","Satt",0,0,0
"9647",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","size","saddle_V1",0,0,0
"9648",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x0","size","saddle_V2",0,0,0
"9649",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","power","naive",0,0,0
"9650",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","power","Satt",0,0,0
"9651",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","power","saddle_V1",0,0,0
"9652",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","power","saddle_V2",0,0,0
"9653",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","size","naive",0,0,0
"9654",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","size","Satt",0,0,0
