"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x0","power","naive",0.0175,0.0675,0.1245,0
"2",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x0","power","edgeKC",0.0075,0.034,0.0845,0
"3",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x0","size","naive",0.0175,0.0675,0.1245,0
"4",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x0","size","edgeKC",0.0075,0.034,0.0845,0
"5",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x1","power","naive",0.999,0.9995,1,0
"6",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x1","power","edgeKC",0.998,0.9995,1,0
"7",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x1","size","naive",0.0105,0.06,0.108,0
"8",25,1,"unif","naive edgeKC",2000,467550774,"HC2","x1","size","edgeKC",0.0065,0.043,0.0835,0
"9",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x0","power","naive",0.016,0.0645,0.12,0
"10",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x0","power","edgeKC",0.0085,0.042,0.097,0
"11",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x0","size","naive",0.016,0.0645,0.12,0
"12",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x0","size","edgeKC",0.0085,0.042,0.097,0
"13",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x1","power","naive",1,1,1,0
"14",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x1","power","edgeKC",1,1,1,0
"15",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x1","size","naive",0.015,0.067,0.115,0
"16",40,1,"unif","naive edgeKC",2000,48579698,"HC2","x1","size","edgeKC",0.0105,0.056,0.0955,0
"17",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x0","power","naive",0.0085,0.053,0.094,0
"18",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x0","power","edgeKC",0.0075,0.028,0.061,0
"19",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x0","size","naive",0.0085,0.053,0.094,0
"20",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x0","size","edgeKC",0.0075,0.028,0.061,0
"21",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x1","power","naive",0.1795,0.3735,0.4935,0
"22",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x1","power","edgeKC",0.136,0.3015,0.447,0
"23",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x1","size","naive",0.0125,0.052,0.1085,0
"24",25,2,"unif","naive edgeKC",2000,874587212,"HC2","x1","size","edgeKC",0.009,0.0365,0.078,0
"25",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x0","power","naive",0.0125,0.0535,0.1025,0
"26",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x0","power","edgeKC",0.0065,0.042,0.0825,0
"27",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x0","size","naive",0.0125,0.0535,0.1025,0
"28",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x0","size","edgeKC",0.0065,0.042,0.0825,0
"29",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x1","power","naive",0.31,0.5435,0.6535,0
"30",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x1","power","edgeKC",0.25,0.4965,0.627,0
"31",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x1","size","naive",0.0105,0.0545,0.1055,0
"32",40,2,"unif","naive edgeKC",2000,215372660,"HC2","x1","size","edgeKC",0.007,0.04,0.094,0
"33",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x0","power","naive",0.0075,0.0445,0.0985,0
"34",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x0","power","edgeKC",0.0045,0.023,0.061,0
"35",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x0","size","naive",0.0075,0.0445,0.0985,0
"36",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x0","size","edgeKC",0.0045,0.023,0.061,0
"37",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x1","power","naive",0.2895,0.4955,0.6175,0
"38",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x1","power","edgeKC",0.2385,0.425,0.567,0
"39",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x1","size","naive",0.018,0.0695,0.1255,0
"40",25,3,"unif","naive edgeKC",2000,818655611,"HC2","x1","size","edgeKC",0.0105,0.0465,0.0965,0
"41",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x0","power","naive",0.006,0.045,0.0995,0
"42",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x0","power","edgeKC",0.002,0.03,0.0765,0
"43",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x0","size","naive",0.006,0.045,0.0995,0
"44",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x0","size","edgeKC",0.002,0.03,0.0765,0
"45",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x1","power","naive",0.4905,0.716,0.812,0
"46",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x1","power","edgeKC",0.425,0.68,0.792,0
"47",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x1","size","naive",0.017,0.0645,0.115,0
"48",40,3,"unif","naive edgeKC",2000,88731144,"HC2","x1","size","edgeKC",0.0085,0.0475,0.0985,0
"49",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x0","power","naive",0.0085,0.0435,0.096,0
"50",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x0","power","edgeKC",0.0035,0.032,0.081,0
"51",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x0","size","naive",0.0085,0.0435,0.096,0
"52",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x0","size","edgeKC",0.0035,0.032,0.081,0
"53",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x1","power","naive",1,1,1,0
"54",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x1","power","edgeKC",1,1,1,0
"55",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x1","size","naive",0.0205,0.0655,0.1235,0
"56",25,1,"norm","naive edgeKC",2000,78662368,"HC2","x1","size","edgeKC",0.0105,0.0315,0.0795,0
"57",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x0","power","naive",0.0125,0.0465,0.092,0
"58",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x0","power","edgeKC",0.0095,0.0365,0.0865,0
"59",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x0","size","naive",0.0125,0.0465,0.092,0
"60",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x0","size","edgeKC",0.0095,0.0365,0.0865,0
"61",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x1","power","naive",1,1,1,0
"62",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x1","power","edgeKC",1,1,1,0
"63",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x1","size","naive",0.0135,0.061,0.1095,0
"64",40,1,"norm","naive edgeKC",2000,934700486,"HC2","x1","size","edgeKC",0.006,0.0405,0.0905,0
"65",25,2,"norm","naive edgeKC",2000,74364571,"HC2","x0","power","naive",0.0125,0.067,0.1215,0
