"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"26",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B0","Power",0.23,0.258,0.243,0.24,0.225,0.253,0.248,0.253
"27",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B1","Power",0.341,0.373,0.36,0.351,0.325,0.367,0.363,0.367
"28",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B2","Power",1,1,1,1,1,1,1,1
"29",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B3","Power",1,1,1,1,1,1,1,1
"30",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B4","Power",0.052,0.056,0.053,0.051,0.045,0.053,0.053,0.053
"31",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B0","Size",0.048,0.053,0.049,0.048,0.044,0.052,0.049,0.052
"32",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B1","Size",0.04,0.05,0.048,0.046,0.043,0.049,0.048,0.049
"33",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B2","Size",0.052,0.055,0.05,0.049,0.048,0.055,0.051,0.055
"34",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B3","Size",0.049,0.066,0.062,0.057,0.053,0.064,0.061,0.064
"35",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B4","Size",0.056,0.057,0.057,0.056,0.056,0.057,0.057,0.057
"36",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B0","Power",0.567,0.568,0.562,0.561,0.551,0.565,0.562,0.565
"37",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B1","Power",0.633,0.642,0.638,0.636,0.624,0.641,0.64,0.641
"38",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B2","Power",1,1,1,1,1,1,1,1
"39",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B3","Power",1,1,1,1,1,1,1,1
"40",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,983037658,"B4","Power",0.056,0.057,0.057,0.056,0.056,0.057,0.057,0.057
"41",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B0","Size",0.05,0.054,0.054,0.054,0.052,0.054,0.054,0.054
"42",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B1","Size",0.042,0.044,0.043,0.042,0.041,0.044,0.044,0.044
"43",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B2","Size",0.048,0.045,0.044,0.044,0.044,0.045,0.045,0.045
"44",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B3","Size",0.047,0.058,0.055,0.054,0.05,0.057,0.055,0.057
"45",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B4","Size",0.049,0.052,0.051,0.051,0.05,0.051,0.051,0.051
"46",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B0","Power",0.83,0.833,0.831,0.831,0.828,0.832,0.832,0.832
"47",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B1","Power",0.939,0.936,0.936,0.935,0.93,0.936,0.936,0.936
"48",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B2","Power",1,1,1,1,1,1,1,1
"49",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B3","Power",1,1,1,1,1,1,1,1
"50",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,219560910,"B4","Power",0.049,0.052,0.051,0.051,0.05,0.051,0.051,0.051
"51",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B0","Size",0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056
