"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"309",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,879049476,"B3","Power",0.638,0.751,0.698,0.656,0.505,0.722,0.695,0.722
"310",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,879049476,"B4","Power",0.062,0.109,0.075,0.069,0.045,0.094,0.082,0.094
"311",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B0","Size",0.049,0.074,0.056,0.054,0.036,0.069,0.063,0.069
"312",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B1","Size",0.041,0.081,0.063,0.056,0.034,0.075,0.069,0.075
"313",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B2","Size",0.044,0.079,0.061,0.059,0.035,0.075,0.065,0.075
"314",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B3","Size",0.054,0.102,0.089,0.081,0.048,0.096,0.089,0.096
"315",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B4","Size",0.048,0.075,0.056,0.053,0.04,0.068,0.061,0.068
"316",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B0","Power",0.106,0.148,0.12,0.117,0.092,0.135,0.126,0.135
"317",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B1","Power",0.111,0.164,0.14,0.135,0.1,0.154,0.143,0.154
"318",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B2","Power",0.86,0.89,0.875,0.862,0.823,0.885,0.875,0.885
"319",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B3","Power",0.922,0.944,0.93,0.919,0.879,0.935,0.929,0.935
"320",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,607691843,"B4","Power",0.048,0.075,0.056,0.053,0.04,0.068,0.061,0.068
"321",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B0","Size",0.054,0.076,0.066,0.061,0.049,0.072,0.066,0.072
"322",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B1","Size",0.056,0.074,0.066,0.062,0.055,0.072,0.066,0.072
"323",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B2","Size",0.058,0.066,0.063,0.062,0.052,0.065,0.063,0.065
"324",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B3","Size",0.047,0.081,0.078,0.07,0.057,0.078,0.076,0.078
"325",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B4","Size",0.052,0.059,0.05,0.049,0.041,0.056,0.052,0.056
"326",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B0","Power",0.187,0.222,0.208,0.205,0.184,0.216,0.212,0.216
"327",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B1","Power",0.214,0.245,0.23,0.223,0.209,0.236,0.23,0.236
"328",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B2","Power",0.994,0.996,0.995,0.995,0.995,0.996,0.995,0.996
"329",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B3","Power",0.998,0.999,0.999,0.999,0.996,0.999,0.999,0.999
"330",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,493274313,"B4","Power",0.052,0.059,0.05,0.049,0.041,0.056,0.052,0.056
"331",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B0","Size",0.029,0.034,0.034,0.033,0.032,0.034,0.034,0.034
"332",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B1","Size",0.035,0.046,0.045,0.044,0.038,0.046,0.045,0.046
"333",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B2","Size",0.04,0.049,0.047,0.046,0.043,0.049,0.048,0.049
"334",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B3","Size",0.055,0.065,0.06,0.058,0.054,0.063,0.06,0.063
"335",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B4","Size",0.059,0.059,0.059,0.059,0.056,0.059,0.059,0.059
"336",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B0","Power",0.36,0.386,0.381,0.377,0.369,0.383,0.382,0.383
"337",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B1","Power",0.484,0.494,0.484,0.483,0.464,0.491,0.487,0.491
"338",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B2","Power",1,1,1,1,1,1,1,1
"339",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B3","Power",1,1,1,1,1,1,1,1
"340",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,197788330,"B4","Power",0.059,0.059,0.059,0.059,0.056,0.059,0.059,0.059
"341",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B0","Size",0.038,0.043,0.041,0.039,0.037,0.043,0.041,0.043
"342",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B1","Size",0.038,0.042,0.04,0.039,0.039,0.042,0.04,0.042
"343",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B2","Size",0.046,0.047,0.047,0.047,0.046,0.047,0.047,0.047
"344",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B3","Size",0.044,0.052,0.052,0.052,0.049,0.052,0.052,0.052
"345",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B4","Size",0.049,0.051,0.051,0.05,0.049,0.051,0.051,0.051
"346",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B0","Power",0.64,0.653,0.647,0.647,0.644,0.651,0.648,0.651
"347",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B1","Power",0.793,0.8,0.798,0.796,0.793,0.8,0.799,0.8
"348",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B2","Power",1,1,1,1,1,1,1,1
"349",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B3","Power",1,1,1,1,1,1,1,1
"350",500,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,728115603,"B4","Power",0.049,0.051,0.051,0.05,0.049,0.051,0.051,0.051
"351",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B0","Size",0.055,0.064,0.062,0.062,0.06,0.063,0.063,0.063
"352",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B1","Size",0.053,0.06,0.058,0.057,0.056,0.06,0.059,0.06
"353",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B2","Size",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
"354",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B3","Size",0.065,0.074,0.073,0.069,0.068,0.073,0.072,0.073
"355",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B4","Size",0.049,0.051,0.05,0.05,0.05,0.05,0.05,0.05
"356",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B0","Power",0.91,0.912,0.912,0.912,0.912,0.912,0.912,0.912
"357",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B1","Power",0.968,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"358",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B2","Power",1,1,1,1,1,1,1,1
"359",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B3","Power",1,1,1,1,1,1,1,1
"360",1000,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,408718076,"B4","Power",0.049,0.051,0.05,0.05,0.05,0.05,0.05,0.05
"361",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B0","Size",0.041,0.091,0.06,0.052,0.02,0.076,0.068,0.076
"362",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B1","Size",0.053,0.087,0.059,0.05,0.024,0.073,0.064,0.073
"363",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B2","Size",0.056,0.101,0.068,0.064,0.037,0.089,0.076,0.089
"364",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B3","Size",0.044,0.096,0.059,0.046,0.021,0.075,0.059,0.075
"365",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B4","Size",0.047,0.077,0.049,0.041,0.019,0.066,0.053,0.066
"366",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B0","Power",0.049,0.097,0.061,0.053,0.028,0.082,0.067,0.082
"367",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B1","Power",0.047,0.108,0.071,0.058,0.025,0.084,0.072,0.084
"368",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B2","Power",0.172,0.272,0.219,0.205,0.132,0.247,0.227,0.247
"369",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B3","Power",0.207,0.362,0.306,0.259,0.162,0.331,0.295,0.331
"370",25,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,754227734,"B4","Power",0.047,0.077,0.049,0.041,0.019,0.066,0.053,0.066
"371",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B0","Size",0.058,0.073,0.062,0.059,0.043,0.068,0.063,0.068
"372",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B1","Size",0.057,0.077,0.061,0.06,0.046,0.069,0.065,0.069
"373",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B2","Size",0.054,0.082,0.068,0.064,0.048,0.08,0.071,0.08
"374",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B3","Size",0.07,0.103,0.094,0.083,0.057,0.095,0.093,0.095
"375",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B4","Size",0.042,0.074,0.058,0.055,0.033,0.068,0.062,0.068
"376",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B0","Power",0.071,0.095,0.074,0.072,0.054,0.086,0.081,0.086
"377",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B1","Power",0.06,0.097,0.078,0.07,0.054,0.091,0.082,0.091
"378",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B2","Power",0.342,0.404,0.375,0.363,0.308,0.389,0.382,0.389
"379",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B3","Power",0.406,0.51,0.48,0.447,0.375,0.491,0.478,0.491
"380",50,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,878689393,"B4","Power",0.042,0.074,0.058,0.055,0.033,0.068,0.062,0.068
"381",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B0","Size",0.043,0.061,0.051,0.051,0.043,0.059,0.055,0.059
"382",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B1","Size",0.047,0.064,0.06,0.054,0.036,0.062,0.06,0.062
"383",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B2","Size",0.043,0.059,0.051,0.046,0.039,0.055,0.053,0.055
"384",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B3","Size",0.051,0.06,0.056,0.05,0.042,0.059,0.054,0.059
"385",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B4","Size",0.043,0.057,0.049,0.047,0.041,0.055,0.052,0.055
"386",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B0","Power",0.069,0.09,0.082,0.077,0.067,0.087,0.083,0.087
"387",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B1","Power",0.083,0.104,0.097,0.096,0.087,0.099,0.098,0.099
"388",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B2","Power",0.547,0.597,0.57,0.564,0.522,0.589,0.575,0.589
"389",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B3","Power",0.712,0.757,0.744,0.723,0.68,0.749,0.739,0.749
"390",100,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,213139833,"B4","Power",0.043,0.057,0.049,0.047,0.041,0.055,0.052,0.055
"391",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B0","Size",0.039,0.048,0.046,0.045,0.042,0.047,0.046,0.047
"392",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B1","Size",0.048,0.05,0.05,0.046,0.041,0.05,0.05,0.05
"393",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B2","Size",0.047,0.052,0.052,0.051,0.048,0.052,0.052,0.052
"394",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B3","Size",0.041,0.043,0.043,0.039,0.032,0.043,0.042,0.043
"395",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B4","Size",0.051,0.053,0.049,0.049,0.045,0.051,0.051,0.051
"396",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B0","Power",0.108,0.137,0.135,0.133,0.126,0.136,0.135,0.136
"397",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B1","Power",0.13,0.141,0.14,0.139,0.132,0.141,0.141,0.141
"398",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B2","Power",0.905,0.912,0.91,0.91,0.906,0.911,0.91,0.911
"399",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B3","Power",0.984,0.979,0.977,0.972,0.969,0.977,0.976,0.977
"400",250,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,554698081,"B4","Power",0.051,0.053,0.049,0.049,0.045,0.051,0.051,0.051
"401",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B0","Size",0.042,0.052,0.05,0.048,0.047,0.051,0.051,0.051
"402",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B1","Size",0.048,0.05,0.048,0.048,0.047,0.049,0.049,0.049
"403",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B2","Size",0.06,0.056,0.056,0.055,0.055,0.056,0.056,0.056
"404",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B3","Size",0.045,0.054,0.052,0.051,0.047,0.052,0.052,0.052
"405",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B4","Size",0.051,0.049,0.049,0.048,0.046,0.049,0.049,0.049
"406",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B0","Power",0.171,0.204,0.203,0.201,0.196,0.203,0.203,0.203
"407",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B1","Power",0.232,0.246,0.243,0.241,0.237,0.245,0.244,0.245
"408",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B2","Power",0.997,0.996,0.996,0.996,0.995,0.996,0.996,0.996
"409",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B3","Power",1,1,1,1,1,1,1,1
"410",500,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,581892873,"B4","Power",0.051,0.049,0.049,0.048,0.046,0.049,0.049,0.049
"411",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B0","Size",0.044,0.054,0.053,0.053,0.052,0.054,0.054,0.054
"412",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B1","Size",0.048,0.05,0.05,0.05,0.047,0.05,0.05,0.05
"413",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B2","Size",0.07,0.069,0.069,0.069,0.066,0.069,0.069,0.069
"414",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B3","Size",0.051,0.057,0.056,0.055,0.051,0.056,0.056,0.056
"415",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B4","Size",0.055,0.053,0.053,0.053,0.052,0.053,0.053,0.053
"416",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B0","Power",0.321,0.344,0.341,0.339,0.339,0.342,0.341,0.342
"417",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B1","Power",0.386,0.392,0.389,0.388,0.388,0.392,0.391,0.392
"418",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B2","Power",1,1,1,1,1,1,1,1
"419",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B3","Power",1,1,1,1,1,1,1,1
"420",1000,"1 1 1 1 0 0","E6","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,441210641,"B4","Power",0.055,0.053,0.053,0.053,0.052,0.053,0.053,0.053
"421",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B0","Size",0.138,0.218,0.167,0.151,0.093,0.196,0.174,0.196
"422",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B1","Size",0.054,0.104,0.077,0.065,0.032,0.089,0.079,0.089
"423",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B2","Size",0.061,0.116,0.089,0.078,0.046,0.108,0.093,0.108
"424",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B3","Size",0.058,0.13,0.092,0.078,0.049,0.112,0.09,0.112
"425",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B4","Size",0.037,0.08,0.051,0.048,0.022,0.066,0.057,0.066
"426",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B0","Power",0.19,0.277,0.218,0.203,0.13,0.247,0.228,0.247
"427",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B1","Power",0.06,0.109,0.075,0.068,0.041,0.095,0.077,0.095
"428",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B2","Power",0.153,0.237,0.183,0.172,0.112,0.217,0.187,0.217
"429",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B3","Power",0.176,0.312,0.253,0.198,0.104,0.278,0.238,0.278
"430",25,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,591766079,"B4","Power",0.037,0.08,0.051,0.048,0.022,0.066,0.057,0.066
"431",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B0","Size",0.276,0.349,0.318,0.305,0.239,0.331,0.323,0.331
"432",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B1","Size",0.052,0.081,0.066,0.061,0.045,0.077,0.071,0.077
"433",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B2","Size",0.053,0.071,0.057,0.051,0.04,0.065,0.058,0.065
"434",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B3","Size",0.059,0.1,0.09,0.073,0.047,0.092,0.087,0.092
"435",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B4","Size",0.046,0.079,0.07,0.065,0.042,0.075,0.072,0.075
"436",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B0","Power",0.381,0.443,0.405,0.395,0.34,0.427,0.413,0.427
"437",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B1","Power",0.072,0.092,0.08,0.071,0.052,0.086,0.08,0.086
"438",50,"1 1 1 1 0 0","E0","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,384557830,"B2","Power",0.239,0.325,0.288,0.282,0.231,0.314,0.296,0.314
