"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3"
"168",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B2","Power",1,1,1,1,1
"169",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B3","Power",1,1,1,1,1
"170",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B4","Power",0.057,0.059,0.059,0.059,0.055
"171",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B0","Size",0.058,0.058,0.057,0.056,0.056
"172",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B1","Size",0.069,0.056,0.055,0.054,0.054
"173",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B2","Size",0.051,0.056,0.056,0.056,0.053
"174",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B3","Size",0.116,0.053,0.053,0.051,0.047
"175",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B4","Size",0.058,0.058,0.058,0.058,0.056
"176",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B0","Power",0.656,0.647,0.644,0.64,0.639
"177",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B1","Power",0.74,0.718,0.716,0.714,0.709
"178",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B2","Power",1,1,1,1,1
"179",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B3","Power",1,1,1,1,1
"180",1000,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,849272884,"B4","Power",0.058,0.058,0.058,0.058,0.056
"181",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B0","Size",0.063,0.109,0.073,0.065,0.034
"182",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B1","Size",0.074,0.125,0.087,0.073,0.034
"183",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B2","Size",0.048,0.105,0.069,0.059,0.029
"184",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B3","Size",0.151,0.216,0.163,0.129,0.065
"185",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B4","Size",0.049,0.098,0.065,0.061,0.026
"186",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B0","Power",0.063,0.11,0.086,0.066,0.036
"187",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B1","Power",0.076,0.123,0.089,0.078,0.039
"188",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B2","Power",0.135,0.227,0.181,0.157,0.092
"189",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B3","Power",0.25,0.314,0.274,0.225,0.122
"190",25,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,373975794,"B4","Power",0.049,0.098,0.065,0.061,0.026
"191",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B0","Size",0.059,0.083,0.069,0.063,0.045
"192",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B1","Size",0.074,0.091,0.072,0.063,0.049
"193",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B2","Size",0.043,0.068,0.052,0.049,0.033
"194",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B3","Size",0.185,0.16,0.143,0.11,0.077
"195",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B4","Size",0.05,0.085,0.069,0.062,0.047
"196",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B0","Power",0.065,0.086,0.071,0.067,0.048
"197",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B1","Power",0.085,0.104,0.086,0.074,0.056
"198",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B2","Power",0.224,0.299,0.272,0.256,0.22
"199",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B3","Power",0.38,0.34,0.318,0.274,0.207
"200",50,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,806530446,"B4","Power",0.05,0.085,0.069,0.062,0.047
"201",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B0","Size",0.049,0.069,0.059,0.054,0.042
"202",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B1","Size",0.072,0.072,0.067,0.061,0.048
"203",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B2","Size",0.042,0.052,0.047,0.044,0.035
"204",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B3","Size",0.214,0.133,0.122,0.096,0.065
"205",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B4","Size",0.05,0.062,0.052,0.05,0.043
"206",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B0","Power",0.064,0.082,0.077,0.073,0.058
"207",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B1","Power",0.104,0.109,0.102,0.091,0.072
"208",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B2","Power",0.436,0.475,0.46,0.451,0.426
"209",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B3","Power",0.521,0.408,0.39,0.362,0.321
"210",100,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,610958800,"B4","Power",0.05,0.062,0.052,0.05,0.043
"211",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B0","Size",0.057,0.062,0.059,0.053,0.044
"212",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B1","Size",0.083,0.059,0.059,0.055,0.051
"213",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B2","Size",0.047,0.049,0.048,0.048,0.044
"214",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B3","Size",0.238,0.085,0.084,0.073,0.059
"215",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B4","Size",0.053,0.052,0.051,0.048,0.045
"216",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B0","Power",0.111,0.104,0.098,0.097,0.091
"217",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B1","Power",0.139,0.105,0.104,0.099,0.094
"218",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B2","Power",0.814,0.822,0.817,0.813,0.805
"219",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B3","Power",0.836,0.666,0.661,0.636,0.601
"220",250,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,100372325,"B4","Power",0.053,0.052,0.051,0.048,0.045
"221",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B0","Size",0.064,0.054,0.054,0.053,0.051
"222",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B1","Size",0.092,0.066,0.064,0.06,0.054
"223",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B2","Size",0.046,0.05,0.05,0.05,0.048
"224",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B3","Size",0.237,0.07,0.07,0.066,0.06
"225",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B4","Size",0.048,0.046,0.045,0.045,0.044
"226",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B0","Power",0.172,0.161,0.16,0.154,0.148
"227",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B1","Power",0.207,0.162,0.16,0.159,0.15
"228",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B2","Power",0.982,0.982,0.982,0.982,0.981
"229",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B3","Power",0.957,0.869,0.868,0.857,0.847
"230",500,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,171740723,"B4","Power",0.048,0.046,0.045,0.045,0.044
"231",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B0","Size",0.065,0.057,0.055,0.053,0.051
"232",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B1","Size",0.089,0.054,0.054,0.054,0.052
"233",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B2","Size",0.05,0.055,0.054,0.054,0.053
"234",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B3","Size",0.256,0.069,0.069,0.068,0.066
"235",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B4","Size",0.039,0.044,0.043,0.043,0.043
"236",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B0","Power",0.24,0.22,0.219,0.218,0.216
"237",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B1","Power",0.341,0.273,0.273,0.27,0.268
"238",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B2","Power",1,1,1,1,1
"239",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B3","Power",1,0.986,0.985,0.985,0.983
"240",1000,"1 1 1 1 0 0","E3","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,753731020,"B4","Power",0.039,0.044,0.043,0.043,0.043
"241",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B0","Size",0.061,0.114,0.081,0.067,0.034
"242",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B1","Size",0.063,0.125,0.09,0.068,0.04
"243",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B2","Size",0.045,0.096,0.063,0.047,0.022
"244",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B3","Size",0.116,0.175,0.132,0.097,0.048
"245",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B4","Size",0.049,0.102,0.058,0.055,0.026
"246",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B0","Power",0.061,0.115,0.081,0.071,0.038
"247",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B1","Power",0.079,0.147,0.104,0.083,0.039
"248",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B2","Power",0.12,0.196,0.158,0.147,0.087
"249",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B3","Power",0.214,0.307,0.255,0.192,0.102
"250",25,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1045171610,"B4","Power",0.049,0.102,0.058,0.055,0.026
"251",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B0","Size",0.051,0.093,0.079,0.069,0.046
"252",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B1","Size",0.08,0.101,0.08,0.07,0.052
"253",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B2","Size",0.048,0.075,0.064,0.057,0.036
"254",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B3","Size",0.156,0.173,0.146,0.119,0.087
"255",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B4","Size",0.051,0.078,0.065,0.06,0.039
"256",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B0","Power",0.065,0.096,0.07,0.065,0.053
"257",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B1","Power",0.081,0.098,0.089,0.083,0.064
"258",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B2","Power",0.226,0.297,0.262,0.252,0.199
"259",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B3","Power",0.367,0.383,0.354,0.319,0.24
"260",50,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,391139337,"B4","Power",0.051,0.078,0.065,0.06,0.039
"261",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B0","Size",0.048,0.063,0.058,0.054,0.043
"262",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B1","Size",0.058,0.068,0.061,0.059,0.05
"263",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B2","Size",0.055,0.061,0.056,0.055,0.047
"264",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B3","Size",0.14,0.09,0.086,0.073,0.054
"265",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B4","Size",0.041,0.049,0.046,0.044,0.041
"266",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B0","Power",0.068,0.081,0.075,0.068,0.06
"267",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B1","Power",0.088,0.092,0.088,0.082,0.063
"268",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B2","Power",0.394,0.45,0.431,0.419,0.397
"269",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B3","Power",0.545,0.466,0.456,0.422,0.359
"270",100,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,414995648,"B4","Power",0.041,0.049,0.046,0.044,0.041
"271",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B0","Size",0.046,0.058,0.055,0.055,0.049
"272",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B1","Size",0.055,0.056,0.055,0.054,0.048
"273",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B2","Size",0.049,0.055,0.054,0.054,0.053
"274",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B3","Size",0.164,0.068,0.065,0.062,0.053
"275",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B4","Size",0.051,0.055,0.054,0.052,0.046
"276",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B0","Power",0.091,0.107,0.104,0.103,0.096
"277",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B1","Power",0.11,0.101,0.097,0.093,0.089
"278",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B2","Power",0.798,0.804,0.799,0.797,0.782
"279",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B3","Power",0.852,0.73,0.727,0.72,0.703
"280",250,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,431906575,"B4","Power",0.051,0.055,0.054,0.052,0.046
"281",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B0","Size",0.05,0.057,0.056,0.056,0.051
"282",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B1","Size",0.072,0.06,0.06,0.06,0.057
"283",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B2","Size",0.057,0.057,0.057,0.057,0.055
"284",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B3","Size",0.176,0.072,0.07,0.064,0.06
"285",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B4","Size",0.056,0.054,0.053,0.053,0.053
"286",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B0","Power",0.139,0.15,0.148,0.148,0.142
"287",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B1","Power",0.198,0.177,0.175,0.171,0.167
"288",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B2","Power",0.978,0.977,0.976,0.976,0.976
"289",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B3","Power",0.978,0.916,0.916,0.911,0.904
"290",500,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,750262445,"B4","Power",0.056,0.054,0.053,0.053,0.053
"291",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B0","Size",0.039,0.051,0.05,0.05,0.05
"292",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B1","Size",0.061,0.05,0.05,0.049,0.047
"293",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B2","Size",0.058,0.058,0.058,0.058,0.057
"294",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B3","Size",0.138,0.049,0.049,0.046,0.044
"295",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B4","Size",0.042,0.043,0.042,0.041,0.041
"296",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B0","Power",0.221,0.244,0.241,0.24,0.24
"297",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B1","Power",0.299,0.27,0.266,0.265,0.257
"298",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B2","Power",0.999,0.999,0.999,0.999,0.999
"299",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B3","Power",1,0.997,0.997,0.997,0.997
"300",1000,"1 1 1 1 0 0","E4","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,892037710,"B4","Power",0.042,0.043,0.042,0.041,0.041
"301",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B0","Size",0.041,0.107,0.062,0.058,0.026
"302",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B1","Size",0.049,0.113,0.075,0.066,0.028
"303",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B2","Size",0.043,0.106,0.075,0.064,0.037
"304",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B3","Size",0.065,0.132,0.096,0.074,0.047
"305",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B4","Size",0.058,0.114,0.074,0.067,0.035
"306",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B0","Power",0.079,0.141,0.116,0.102,0.053
"307",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B1","Power",0.087,0.15,0.116,0.106,0.058
"308",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B2","Power",0.55,0.662,0.588,0.56,0.456
"309",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B3","Power",0.629,0.747,0.689,0.636,0.492
"310",25,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,585055753,"B4","Power",0.058,0.114,0.074,0.067,0.035
"311",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B0","Size",0.049,0.079,0.062,0.062,0.04
"312",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B1","Size",0.044,0.082,0.06,0.056,0.039
"313",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B2","Size",0.053,0.085,0.073,0.066,0.047
"314",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B3","Size",0.041,0.076,0.07,0.057,0.038
"315",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B4","Size",0.042,0.083,0.055,0.051,0.04
"316",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B0","Power",0.101,0.148,0.127,0.117,0.083
"317",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B1","Power",0.14,0.186,0.16,0.154,0.131
"318",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B2","Power",0.876,0.894,0.876,0.873,0.841
"319",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B3","Power",0.919,0.931,0.924,0.915,0.862
"320",50,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,613604809,"B4","Power",0.042,0.083,0.055,0.051,0.04
"321",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B0","Size",0.056,0.066,0.061,0.061,0.05
"322",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B1","Size",0.05,0.063,0.06,0.055,0.043
"323",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B2","Size",0.058,0.075,0.067,0.067,0.058
"324",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B3","Size",0.038,0.062,0.054,0.049,0.039
"325",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B4","Size",0.053,0.066,0.058,0.058,0.047
"326",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B0","Power",0.153,0.179,0.175,0.172,0.154
"327",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B1","Power",0.224,0.259,0.246,0.239,0.211
"328",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B2","Power",0.991,0.994,0.991,0.989,0.986
"329",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B3","Power",1,1,1,1,0.997
"330",100,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,636465284,"B4","Power",0.053,0.066,0.058,0.058,0.047
"331",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,719354849,"B0","Size",0.041,0.051,0.051,0.05,0.049
"332",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,719354849,"B1","Size",0.052,0.058,0.055,0.054,0.052
"333",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,719354849,"B2","Size",0.06,0.067,0.062,0.062,0.058
"334",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,719354849,"B3","Size",0.056,0.063,0.061,0.06,0.054
"335",250,"1 1 1 1 0 0","E5","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,719354849,"B4","Size",0.049,0.055,0.054,0.053,0.05
